,image_id,ground_truth,google_vision_sp_detection,google_vision_sp_score,google_vision_sp_response Time,vision_openai_sp_detection,vision_openai_response_time,ground_truth_single,ground_truth_multiple
11,JGPV6AT5TOGCRCBTGPWPGYAXKBEK53MELT4JJNVN5TJUPR554AAQ,[Tower Bridge],None,0.0,0.1236178874969482,Tower Bridge,4.849252701,Tower Bridge,Tower Bridge
12,QCMTLUBEXWYRZ7ONWR7SAP2JUKC4F4VH3M26EGFWU5YP332G5NPA,[None],None,0.0,0.1826212406158447,None,4.476295233,None,None
13,3VQSS6KOLMCH3SW4MGNOS2SCXFYOMAKYUUEMGBLMR47MMPJVU4KA,[None],None,0.0,0.2212622165679931,None,4.374555588,None,None
14,34MNRB732744QHIKC3ZSRK7OQ7TUONWPZ2JFFULO233A4C354YBA,[Tower Bridge],None,0.0,0.3973684310913086,Tower Bridge,10.04599166,Tower Bridge,Tower Bridge
15,KCYCWA4LB7XYCD7DDIW6NOIRHZZD4QIUUL4SFDRZSFE4DTCZYDGA,[Palace Of Westminster],None,0.0,0.4017608165740967,Palace Of Westminster,4.768093348,Palace Of Westminster,Palace Of Westminster
16,757E4FQDJC5DWUO6Y3WBZDIYBFWGV6AK5LRNUYEM5PUILBEIWIZA,[None],None,0.0,0.1605195999145507,None,2.322855711,None,None
17,BSLUHXKIS375LYW2GKV4ZGZ4PCW5KQYT5J36XAIARPV2ZHLTSRVA,"[The Shard,Tower Bridge]",Tower Bridge,0.5335007309913635,0.2063069343566894,Tower Bridge,3.264765978,The Shard,"The Shard,Tower Bridge"
18,72A7RGYIHGG67WDKRVE5QFGDGSPOGTMK7Y54LL3U35364QULCXEA,[The British Museum],The British Museum,0.2583083808422088,0.3761775493621826,None,5.021011353,The British Museum,The British Museum
19,5HB5YCZ7QESB76FXLI2LGNVHHIKRU35J3L7SRR6B5CA7L5D5FESA,[None],None,0.0,0.1644437313079834,None,3.28421998,None,None
20,PON5OU5HEXOXETT23VCVIEJ6GU7ITCDVDGVH4L5YK5J7IU65R55Q,[None],None,0.0,0.4210541248321533,None,7.170218706,None,None
21,F5GZSKSRNU6YQHBKZVC2AWWEDTS6MB6WCCBMA2DC5U2NKY7WEVUA,[The British Museum],None,0.0,0.4349665641784668,The British Museum,5.598350286,The British Museum,The British Museum
22,ZLDE7H2BSNHNI4S54OTJMFO2IHQDBW7G25ZMDQ37HTJJELCN735Q,[The Shard],None,0.0,0.2564947605133056,The Shard,4.523033381,The Shard,The Shard
23,PBOC52M7NVNJ65YWF32PCLI4N2ZUCMPYLKFFGLS542J4BXQJ3YGQ,[None],None,0.0,0.2620866298675537,None,0.6643247604,None,None
24,BZ5DDCQ7YTWQIMJCCOE42QI4A66KDHU6P37UHV5NPD6AQ2YOQPZA,"[Tower Bridge,30 St Mary Axe (The Gherkin)]",Tower Of London,0.4340174198150635,0.3765959739685058,Tower Bridge,9.568370104,Tower Bridge,"Tower Bridge,30 St Mary Axe (The Gherkin)"
25,6M5BSAQY6L5IAY7N3IC4RC22LUPH4Z4RAZZXSZKASYYRXSNDALQQ,[None],None,0.0,0.3286337852478027,None,6.65537858,None,None
26,WRP74CYA4RGPTLR6ZUPF2R37PQEY6S535MYQ2V3OHIUW6CXSJKEA,[None],None,0.0,0.1919150352478027,None,2.581177235,None,None
27,COI5AL4FATCNEQUWWNFMGOOXI63EB4QPRUB6SQE2O4AMBEVB6XLQ,[Lastminute.com London Eye],None,0.0,0.3273594379425049,Westminster Bridge,5.615898371,Lastminute.com London Eye,Lastminute.com London Eye
28,OPI4ERKXTEDJS5NNPVIQRBDY7SQVA34QXWIIFZJWISJKHS7TO6RA,"[Westminster Bridge,Big Ben]",Big Ben,0.2431947141885757,0.3333301544189453,Big Ben,8.140209675,Westminster Bridge,"Westminster Bridge,Big Ben"
29,2AUW6KOSKR24Q624P4BAXVOE3DDAZVO75A6UHZUBE4MREGZYZKSA,[Big Ben],Palace Of Westminster,0.4524437189102173,0.4346795082092285,Big Ben,15.60558152,Big Ben,Big Ben
30,ROY75GLVHJ6VG3TZNW73PJZZMDSBQP3JEY2KJCR4DM32DAKNFPPQ,[None],None,0.0,0.4076883792877197,None,4.575484037,None,None
31,7344AN7LM4UXSHLB6Y2MMGK647HXPV4R22WKYSQR2PVVRHHYOMFQ,[None],None,0.0,0.3519656658172607,None,18.09136248,None,None
32,OFB2NBDTT2FKS4PHO4TB675EJVQ4SLX67I2MJ6KUSTCUMGW3YSNA,[The British Museum],The British Museum,0.3474553525447845,0.380103588104248,The British Museum,5.054741859,The British Museum,The British Museum
33,MGWHNBR4VXYPCL7JH3DM3SRPOVSKHDYUXSWKP5R72RPQA5NSHYVA,[None],None,0.0,0.3218600749969482,None,1.193620443,None,None
34,QR2DSAHKTWHGVNZKWQSFOG3L6TNQYAPV5JKYOA5V6M4CXP2TWTEA,[Tower Bridge],Tower Of London,0.5056998133659363,0.3981118202209472,Tower Bridge,8.11600852,Tower Bridge,Tower Bridge
35,CY3C7DOO45GPW4Z4IRRR5OUAYP5CC2RUZ6ML5XQU2OOJC2H6XERQ,[None],None,0.0,0.1706936359405517,None,2.801895618,None,None
36,O36AWUJUTBSS2SP4OR5KWWMIVCCWT3SMEICULWSAJTCIQLUKE2XA,[None],None,0.0,0.2227332592010498,None,3.056474686,None,None
37,NAJVPXFMTEOMOSZDZU26DRYMHS5MOVI34D5Y67TKLNRC6YYVGG7A,[None],None,0.0,0.2492978572845459,None,0.8454978466,None,None
38,WZL67FRK5IRNJMQTH45HN3WAMUVRUTGPHIKA7MFWXDZ4JSEWMVPQ,[Trafalgar Square],Trafalgar Square,0.2160317450761795,0.4019224643707275,Trafalgar Square,5.936461926,Trafalgar Square,Trafalgar Square
39,4MLPB64JFHPSIM2YTAFY4U5HCCVUIUABRH7GUVMVTJZKKOPBF3KA,[None],None,0.0,0.337601900100708,None,7.547381401,None,None
40,5GK55WOQ6VIGDNYAK7YHMJH2RTAPV55BY7J5TDJHYCAQC26QT2LA,[Tower Bridge],None,0.0,0.1114780902862548,Tower Bridge,3.432913303,Tower Bridge,Tower Bridge
41,SJQ26LWHLWQMK3HRO4BLFRYXIPHMCMKL4KRC7RDIA2M532EFYCGQ,[The British Museum],The British Museum,0.3554575145244598,0.3133537769317627,The British Museum,6.287458897,The British Museum,The British Museum
42,LNP74T3742CGFMFW2WBXGLW4WHVOSBRGD4H7LBQMVBFQFW3STMKA,[None],None,0.0,0.361720323562622,None,6.097795963,None,None
43,ZMVKLW7YKKNBVIFXWI5B5Z7352RDVHOYRA5HNKM6GMXW3O7ZZJSQ,"[The Shard,Tower Bridge]",Tower Bridge,0.5588029623031616,0.180851936340332,Tower Bridge,3.645905256,The Shard,"The Shard,Tower Bridge"
44,VXYJFEXIJLWZBUO5ZKV2VJML6MDTXGYEUOPYLTIS67E5CILPXYLQ,[Big Ben],None,0.0,0.5036675930023193,Big Ben,7.436740875,Big Ben,Big Ben
45,6Z53YM3OR72WY2PMA54Z7PFDTSTR5JE3CY2U3WKBFHLV5EN3LXQA,[None],None,0.0,0.1235971450805664,None,3.038068295,None,None
46,FEKQQFC4YWARRESHFDWRVFCKTKTECPFDS4IM4SDZNN4X3QNPYEYA,[The British Museum],None,0.0,0.0885982513427734,The British Museum,2.395576,The British Museum,The British Museum
47,ZPS2EAEBPRXDI3MEKB6KFN3XFGVAPWDEEQ3VINSSMLNJSSAIKLJQ,"[Westminster Bridge,Big Ben,Palace Of Westminster]",None,0.0,0.1184706687927246,Big Ben,3.845036745,Westminster Bridge,"Westminster Bridge,Big Ben,Palace Of Westminster"
48,YSE7IXEUKU5YQTUHWE4NSKNWB4VZWXEUMPHNQN2J2AZN7SPOBZ2A,[None],None,0.0,0.0952286720275878,None,2.821972132,None,None
49,PBUDQULH2JATROKXJ4LSAC6V6I5N7DEMTFHKEOAOWIAECZG4FYUA,[None],None,0.0,0.1869845390319824,None,8.28506732,None,None
50,VTWI37I4YSMELK4S43DA5R5QUKEH4S3UZT6GRST6QIRB5INTLQEA,[None],None,0.0,0.267909288406372,None,4.039764881,None,None
51,5O5R5JVQIGCUVPQTANIBP6XU5DJDNEPRSJA43OSB2S7WMPPLACRA,[Tower Bridge],None,0.0,0.2146761417388916,Tower Bridge,5.831426144,Tower Bridge,Tower Bridge
52,M7VMCCOOK3KLZIMG4BHAQAVY65ZNXBEY5K5B7WW22IBTXXKR3AHQ,[None],None,0.0,0.2269392013549804,None,7.028762579,None,None
53,O57B47WERWPQJBM3SPYZBQN5BBUREOBM4UJK6WCKWOUQGJXS5U4Q,[None],None,0.0,0.3679924011230469,None,8.786736488,None,None
54,MLS5M7PBRTCCCY7CTYUA7LSJQPZ2A43MB5EO7LBUKDP7U4HCRGDA,"[The Shard,Tower Bridge]",Tower Bridge,0.5459743142127991,0.1277978420257568,Tower Bridge,6.007016659,The Shard,"The Shard,Tower Bridge"
55,DOTRHLG3RFWBXSU4GPP54BRAU557R5MK3SQJI3B5XBLA74FGUA5Q,[Lastminute.com London Eye],None,0.0,0.218017578125,Lastminute.com London Eye,4.790033579,Lastminute.com London Eye,Lastminute.com London Eye
56,XKIA4NHVS4SOMXIYGFFDJOIVGTDVESGBMRVQLT5KP2BHO2AQVLIA,[30 St Mary Axe (The Gherkin)],Tower Bridge,0.1998922377824783,0.2116725444793701,30 St Mary Axe (the Gherkin),3.656695366,30 St Mary Axe (The Gherkin),30 St Mary Axe (The Gherkin)
57,7XYLDNUZ32UZDG6EHUFVZ3PDPL7BHDXJYFSQJYCNSOT5IFWZJIXQ,[None],None,0.0,0.3413240909576416,None,5.860923767,None,None
58,XAZNB7T7XNF7SVNJMOZAW42MVDJ3BJHFCKJBF6HEEBBILHAP4FCA,"[Palace Of Westminster,Big Ben]",None,0.0,0.188108205795288,Palace Of Westminster,4.818950176,Palace Of Westminster,"Palace Of Westminster,Big Ben"
59,ZU7ZPWPYN6HWOH4Y4JOOTEUKSHANRHEAVEEVXWGTVXNPRDS6NFNA,[None],None,0.0,0.4207139015197754,Big Ben,6.750246286,None,None
60,EYWSUOLVTFE6W26MJOVXNNYULXA6GVZGQDZQ7WLTCAM6CCEOAT6A,[None],None,0.0,0.4171679019927978,None,5.496165037,None,None
61,OLXVRTGPGGWRJEG4KXRKKG72SSIQFEJKMGC4WNC3LSYXLHTBMVDQ,[None],None,0.0,0.3832156658172607,None,4.520353556,None,None
62,GBOTRIWYFDY2YW6BLVD5W6U3DNYLOMNDXY37GQQ3U6T5H7REOP3Q,[None],None,0.0,0.1337056159973144,None,6.361127377,None,None
63,CMCFRUAU6OQGUN6NCJ2ZDZIUJUCBQ5DSNNJAD4Q3BXOQMI3LIQWA,[None],None,0.0,0.3816306591033935,None,26.79510283,None,None
64,TPIYSMPICRFDNXNBLCM5PEOD6AGAWDTR42WXESU62N2BPT3ORUUQ,[Tower Bridge],None,0.0,0.1028225421905517,Tower Bridge,2.02403903,Tower Bridge,Tower Bridge
65,6SS7MMRRMYL3YJIR7CVEWFNZ7HT2GCUOMDS67ANHRW7AGQQWCZYQ,[The British Museum],None,0.0,0.1761443614959716,The British Museum,17.19517255,The British Museum,The British Museum
66,BJXBIIOWY4632OPIXNDI5W52LY525M5PM5M2C4YQOTIS5KHTWS6Q,[None],None,0.0,0.4224281311035156,None,7.552481651,None,None
67,YIC65KRQXDRFBNZ5653J5N3WNCRCZEXS262DGXK3UVLCBHO2EWUQ,[None],None,0.0,0.1542041301727295,None,3.554581404,None,None
68,KTYKP3SN63XLOTOR4ZIAH5VEDV2EECVTAEFLEYVNPMB7HI67XOKQ,[None],None,0.0,0.4215829372406006,None,4.896805048,None,None
69,CSYG6AM6B3SCYLZ33MPXA53OMDE2YQFA35TUAROKKMLUJLAL5WGQ,[Big Ben],None,0.0,0.3918390274047851,Big Ben,5.985504866,Big Ben,Big Ben
70,HCKQ4TODYUM23AVVT5YO4XVEY2H3L2NNOVKPCWZ42X6UPUTDU6JQ,"[The Shard,Tower Bridge]",Tower Bridge,0.280515193939209,0.1113247871398925,Tower Bridge,15.92831659,The Shard,"The Shard,Tower Bridge"
71,6P6R4WXQH4SBC43V4ARAOX6XACPBWDXHUPJWSLS2OK5JDXKOZH2Q,[None],None,0.0,0.3389263153076172,None,5.877595901,None,None
72,B3J6VOO344E6UQK6TXY7SHJF3IZ7EH7TMZBTYNUIMEUE33ZIYSVA,[Lastminute.com London Eye],Lastminute.com London Eye,0.4621695578098297,0.1944644451141357,Lastminute.com London Eye,4.357839108,Lastminute.com London Eye,Lastminute.com London Eye
73,2P4LNY7OGRCER57R6H5PXLYCX73EXWX3XO2WN6W7JXGQYZVCO6MA,"[Westminster Bridge,Big Ben]",None,0.0,0.2337832450866699,Big Ben,4.418916702,Westminster Bridge,"Westminster Bridge,Big Ben"
74,G6HI47K4NMNQ2VQT2MJO7WIX7GYBAN2L377UWBGMFMSSM64CLFGA,[Big Ben],Big Ben,0.3806968629360199,0.1007885932922363,Big Ben,6.963014603,Big Ben,Big Ben
75,FMC2XQ7DRPYNLYB3E7OKETPQG6OA42LVHTQWCCZCVDPQCSSO2MUQ,[None],None,0.0,0.4462738037109375,None,6.747633457,None,None
76,CV7KZPN2PIMTIP3TEBXM2EP36SCO2OYZG6MQ54BZ64YOBPLSU3UA,[The British Museum],None,0.0,0.2343935966491699,The British Museum,4.861876726,The British Museum,The British Museum
77,3MQCPNTQNSMF5SLVHM6N4DYBCMXHW22HMUR466UK52VXKFVGIIMQ,"[Big Ben,Westminster Bridge]",Big Ben,0.4825485348701477,0.4618351459503174,Big Ben,7.869676352,Big Ben,"Big Ben,Westminster Bridge"
78,BIUZZQMD6JQ36VCW7ZLL5PGHMI6FGO3KVZKGBK5ZMYAQSTDRF47Q,[The British Museum],The British Museum,0.3778364956378937,0.3476653099060058,The British Museum,7.251838684,The British Museum,The British Museum
79,SKSGDI523KNGX52RRA6SER3356L72WEHA7PYMZ6SPSQ24NPHCHQA,"[Westminster Bridge,Palace Of Westminster,Big Ben]",None,0.0,0.3842337131500244,None,1.602565527,Westminster Bridge,"Westminster Bridge,Palace Of Westminster,Big Ben"
80,ZAG555ITUPFJPRBESYW74DQERTFIB3S7ROKJ3UHLS4J5FIWSXL4Q,"[Tower Bridge,Tower Of London]",None,0.0,0.4606695175170898,Tower Bridge,6.834979296,Tower Bridge,"Tower Bridge,Tower Of London"
81,7TQ43CKIPR5TU3P5I47W2KNYSJS3Q6LDMRGPHA26FPLCGCJHQWFA,[None],None,0.0,0.4780573844909668,The British Museum,4.700855494,None,None
82,2AFWOO37IJZG4GOU5GMTBKNJX2OQTRQCOZB6YRD5Z72EJPOBLE4Q,[None],None,0.0,0.4128668308258056,None,7.809520483,None,None
83,C7M74ORSKTFZAXJSOCIPKF36XHG5XGOGGYSJUAXBS2SVMFYV6UBQ,[None],None,0.0,0.4173791408538818,None,8.336977482,None,None
84,I4FLPCCP42KVFEO6UE7N5DQ4K63RKRKEBPDEUVJYPH4VLK4UNNYQ,[None],None,0.0,0.168163776397705,Trafalgar Square,3.989925623,None,None
85,ZCC55JYCSHJZOQJFLZ7MOLT7KSGXACAT575LOHHRNJ5O5Z7HOIRQ,"[Westminster Bridge,Palace Of Westminster,Big Ben]",Big Ben,0.3073923289775848,0.389937162399292,Big Ben,6.461907625,Westminster Bridge,"Westminster Bridge,Palace Of Westminster,Big Ben"
86,IMYDVSJBYGEWAXQYGN4T7OEZ6UND35MRU2HD7F7L7LZBIPD3T2SA,"[The Shard,Tower Bridge]",Tower Bridge,0.545979917049408,0.1837034225463867,Tower Bridge,6.088748693,The Shard,"The Shard,Tower Bridge"
87,43PFWET75N7H2PWJLMNGIVPJA6RT3C72BN53JEGCEB2S7DLINPHQ,[None],None,0.0,0.1389679908752441,None,3.088052988,None,None
88,L67D6MQGDO74IBTGDD4FEFQHOFKTOKM2W4BECPTWQXC3OOT6IAAA,[None],None,0.0,0.4040586948394775,The British Museum,7.254175901,None,None
89,7RA2BZMLYAVJ44WGTJ2SQESTGRTTDJNWKZK5MBLYITXGR2HPQ3YA,[30 St Mary Axe (The Gherkin)],None,0.0,0.3666465282440185,30 St Mary Axe (the Gherkin),11.04651809,30 St Mary Axe (The Gherkin),30 St Mary Axe (The Gherkin)
90,NI7FCT67ATZ4CYLH367SGTTJUOGPOAS5SXS2XZTT5D2QNWYAMS7Q,"[Tower Bridge,The Shard]",None,0.0,0.133624792098999,Tower Bridge,2.945508003,Tower Bridge,"Tower Bridge,The Shard"
91,TG6BYMY335JCZ22AJEBDRH6BBSG3CY2JIGPIUP65AIEC4YPBQP3Q,"[Big Ben,Palace Of Westminster]",Big Ben,0.5016293525695801,0.4157779216766357,Palace Of Westminster,4.942241192,Big Ben,"Big Ben,Palace Of Westminster"
92,OPREQFNAJ46FREQLFEPDRZXGN6AC3NYKPZHDY33LTU2RJAB33V6A,[None],None,0.0,0.1721611022949218,None,0.7848188877,None,None
93,R7JWQ6BHEHB3Q2FUTZ7AG2YHCEB3RIJBXGQHBLS4CIO262XQVITA,[The Shard],None,0.0,0.1604390144348144,None,0.5765185356,The Shard,The Shard
94,WXFQT42KPDEQ46HTAZ3NBUAQBXAIWIPGDRLR7325YGZW37YYZG2A,"[Big Ben,Palace Of Westminster]",None,0.0,0.192535400390625,Big Ben,4.297209978,Big Ben,"Big Ben,Palace Of Westminster"
95,HB3NXMU6Z7OOTBZVNB4XTY7EHBECBJ6XRSRJHQSE6P4Y2GFPBLUA,[None],None,0.0,0.140723705291748,None,4.718813181,None,None
96,SWPQ2FXDSA2PH4KDMR56KNBPFJZ5C77DBKGBBAA4BPG5CG5XSTVA,[None],None,0.0,0.1512496471405029,None,0.6189954281,None,None
97,5PTIV6ZYZ3WN6O2NAKCBSFNWJFKQGJTAKQCHY4PDHEZXSHWDACBA,[None],None,0.0,0.1728293895721435,None,2.675982237,None,None
98,U7T23QH5GEW7ODO3RSELSS6U52WXDJOVBWSDKXHGITOO62ZUXIVQ,[None],None,0.0,0.1107914447784423,None,3.88689065,None,None
99,3Q6B2LVG2II4BHOPYF5DYXIIG7SKJYXFRWKYXF3TKKFDB5OGULBQ,[None],None,0.0,0.1427197456359863,None,1.684882879,None,None
100,BPJOQOT2MINEYTPKCF6XYTRXHGIRAYVLZXA2LSMXAB7VSVNUR4HQ,[The British Museum],The British Museum,0.4442357420921325,0.4302213191986084,The British Museum,7.218430519,The British Museum,The British Museum
101,7QKIQKGSXXXMPDVOQGUYMMLIJ2DGIHGCLACVBQPO6B7B52ZMQXZA,[The British Museum],The British Museum,0.3496537506580353,0.3310463428497314,The British Museum,5.786592245,The British Museum,The British Museum
102,HQ7NCUKQBAEQ7D6JZBJKAGYNBVPACT2BSKCMUB3URBHSSI5RHYQA,[Lastminute.com London Eye],None,0.0,0.3525676727294922,None,0.8110826015,Lastminute.com London Eye,Lastminute.com London Eye
103,6AECQWEWDK4GXK2W36FS5QSL6KWNRBGA7QMJJXO6LOY6T2GBBYBQ,"[Big Ben,Lastminute.com London Eye,Tower Bridge,Westminster Bridge]",None,0.0,0.2863490581512451,Big Ben,4.235996246,Big Ben,"Big Ben,Lastminute.com London Eye,Tower Bridge,Westminster Bridge"
104,6C7NTRQTVG4SSMOGS5XKZP5E67FC2PVLL7JI6TWIJTQOKGDENTKA,[Lastminute.com London Eye],None,0.0,0.2602698802947998,Westminster Bridge,6.250910759,Lastminute.com London Eye,Lastminute.com London Eye
105,PFX5KCXWUNDTCFJZPCMPIIT3XBLSYJOAVI3QAYUJG3F3OOWBSGUQ,[Tower Bridge],Tower Bridge,0.3348944187164306,0.3983538150787353,Tower Bridge,7.838934183,Tower Bridge,Tower Bridge
106,R75UQ2ROLO5QV4IELKEDWOLTV4W57AVAQAAJT25GT5TY7M3MPR2Q,[None],None,0.0,0.2935502529144287,None,21.19736624,None,None
107,KDMCVFEXAHTVJQIN2CWQPXJEO7B5A43DMHHVKMMZMX4JES2TPM5Q,[Trafalgar Square],None,0.0,0.419260025024414,Trafalgar Square,9.439452887,Trafalgar Square,Trafalgar Square
108,PUZAHY3OHJTQOROMHTE7SHIGF7V5P6E7BJV5VDQSX2D63ZJW3XAA,[None],None,0.0,0.4214951992034912,None,4.436735153,None,None
109,63DQK3GMNNIZXVHAWC552B2D6TAHP6G2NYGQS65TOL3SV5PIOWOQ,[Palace Of Westminster],Big Ben,0.1660142689943313,0.4981191158294678,None,6.571943521,Palace Of Westminster,Palace Of Westminster
110,Y5MS3DYENBRDMXGQFDIEOGJ6TMKYVLTZ3YBHZPSVUFIY4DGOBNMA,[The British Museum],The British Museum,0.276319295167923,0.2997004985809326,None,4.304947138,The British Museum,The British Museum
111,5GDZPIJDZGCS3LU5X3IWSAIDMUD3SEZV52ERDHZ7LH5EUXD5KECA,[None],None,0.0,0.1833648681640625,None,5.246994734,None,None
112,TZS57T53U2LPT5CYEIYZLGXTD6TIQFNJ4FMKAYNCTPV4ARCIZGJA,[None],None,0.0,0.310784101486206,None,1.234005213,None,None
113,5MZCART62VLXX3QIPPZMTTYZSSVJGIOC752H3U3EZFHBN6YGHBXA,[None],None,0.0,0.3758888244628906,None,7.423659325,None,None
114,C2GP3D2AXGXL47VHIHRDOIEJCAY3HAIP6FLVZWX3DQ73EV7O6Q5A,"[Palace Of Westminster,Big Ben]",Big Ben,0.3629761338233948,0.1510407924652099,Big Ben,1.991693735,Palace Of Westminster,"Palace Of Westminster,Big Ben"
115,EQKFQBGQ2NWONBXXR7YRV7MY36NGRHZHWYT6S2WFKW7XOW3B7V5A,[None],Trafalgar Square,0.1866172701120376,0.2090389728546142,None,3.206343889,None,None
116,FYIOGKCPXMWPNV4EY6UOFMHAUQEOQRWGCGO7LQA5ORHUIMN3N6GA,"[Big Ben,Westminster Bridge]",Big Ben,0.54473477602005,0.3721799850463867,None,2.959560871,Big Ben,"Big Ben,Westminster Bridge"
117,UJZPDVCFOKZE5DFVOENIK3NVAUWZLTJOML6XNTBCMRBFRVUGD4QA,"[Big Ben,Palace Of Westminster]",Big Ben,0.5742985010147095,0.3592219352722168,Big Ben,7.796830177,Big Ben,"Big Ben,Palace Of Westminster"
118,BKE7MEPVRSG7RQ4KT7US2E77AOLSOEM3DEYBVTAEKCCXMFFS4FXQ,[None],None,0.0,0.3988282680511474,None,9.141334295,None,None
119,DWP3B75QU3QLRINYB5ODOYAH7EKGJDYL5422G6HOHHSJDO2O7NSA,[None],None,0.0,0.2581391334533691,None,5.344326496,None,None
120,MTIUGMOFUEQHGMCXY2A4BRRBUYK5XJW67SURGW4PM6IT2UKOEMYA,"[Tower Bridge,The Shard]",None,0.0,0.1248197555541992,Tower Bridge,1.941516876,Tower Bridge,"Tower Bridge,The Shard"
121,ZSKZVZ5JC72YCW4L5F4FTLN3DQEV5Z7OSZF2LPT7Z74M6SCFJXKQ,[The British Museum],The British Museum,0.3101870417594909,0.289780855178833,The British Museum,5.380084276,The British Museum,The British Museum
122,R3HTEGBBOGHWGILNA2QX4BRBNCTSMMUYS7ZP3F6UYRGS4Z3RK5NQ,"[Big Ben,Palace Of Westminster]",None,0.0,0.238821268081665,Big Ben,4.759570837,Big Ben,"Big Ben,Palace Of Westminster"
123,GIJPCKVE45YKCRPSQ5PXGBAKMF23HGA4WXZRYVF7SL6J75ZH7VHA,[Tower Bridge],Tower Bridge,0.4181590974330902,0.1348698139190673,Tower Bridge,2.538155556,Tower Bridge,Tower Bridge
124,VY4CQZMR22YYJW7QQLVIBH62LWEQF55QIIHIDOK4AV6ZPMHZEKOA,[None],None,0.0,0.1993758678436279,None,9.141510487,None,None
125,Y5327KBUQ5PG2FRDGHGPHQHGSUUNKAGIHE2EWFCVNBIO6LXH6KIA,[None],None,0.0,0.3025612831115722,None,0.6631000042,None,None
126,XKKNMEOJD5GMEHCHNHP2W52CL5KUR6ZGOB4XPSLPZZJKDBJMFZKA,[30 St Mary Axe (The Gherkin)],None,0.0,0.2002549171447754,30 St Mary Axe (the Gherkin),3.676331043,30 St Mary Axe (The Gherkin),30 St Mary Axe (The Gherkin)
127,MTHUXYWDUWD54ZMKFRJE3Y4GF2PJXJM4BIBRXQMTLKACFVOK53IQ,[None],None,0.0,0.2203330993652343,None,4.951449633,None,None
128,M4MAYUJNYN5NIQNURLHTEJDXEACUUD4MGMONFIRYB7QOR5K7TC4Q,[None],None,0.0,0.1294260025024414,None,2.798851013,None,None
129,5YY5D2USIXQ54XESE2IZ2YLDNTG7DWI2AY3QKIHALCXTI5T6EQ5A,[None],None,0.0,0.2735450267791748,None,3.675369978,None,None
130,ELZZ42RV2XYQUT6Y4UY6MOQSYU7BZBCVPPNQGAN6443TSN6EELYA,[The British Museum],None,0.0,0.4794282913208008,The British Museum,17.88865471,The British Museum,The British Museum
131,KWSYUAU5MTU3T3YIZG5EJJUO2DKGWAD5U2TO4GFCC34NU5MARV3A,[The British Museum],The British Museum,0.2543590068817138,0.1940529346466064,The British Museum,5.880558491,The British Museum,The British Museum
132,KVZMYC7VT3VAV5U7PUHKZMM7CATLQJDUNRIZL5GUOLFH7OMLIYVQ,[Tower Bridge],None,0.0,0.3433904647827148,None,1.48439908,Tower Bridge,Tower Bridge
