image_id,vision_openai_sp_detection,vision_openai_response_time
ROY75GLVHJ6VG3TZNW73PJZZMDSBQP3JEY2KJCR4DM32DAKNFPPQ,None,4.575484037399292
7344AN7LM4UXSHLB6Y2MMGK647HXPV4R22WKYSQR2PVVRHHYOMFQ,None,18.091362476348877
OFB2NBDTT2FKS4PHO4TB675EJVQ4SLX67I2MJ6KUSTCUMGW3YSNA,The British Museum,5.054741859436035
MGWHNBR4VXYPCL7JH3DM3SRPOVSKHDYUXSWKP5R72RPQA5NSHYVA,Error in API call,1.1936204433441162
QR2DSAHKTWHGVNZKWQSFOG3L6TNQYAPV5JKYOA5V6M4CXP2TWTEA,Tower Bridge,8.116008520126343
CY3C7DOO45GPW4Z4IRRR5OUAYP5CC2RUZ6ML5XQU2OOJC2H6XERQ,None,2.8018956184387207
O36AWUJUTBSS2SP4OR5KWWMIVCCWT3SMEICULWSAJTCIQLUKE2XA,None,3.0564746856689453
NAJVPXFMTEOMOSZDZU26DRYMHS5MOVI34D5Y67TKLNRC6YYVGG7A,Error in API call,0.8454978466033936
WZL67FRK5IRNJMQTH45HN3WAMUVRUTGPHIKA7MFWXDZ4JSEWMVPQ,Trafalgar Square,5.936461925506592
4MLPB64JFHPSIM2YTAFY4U5HCCVUIUABRH7GUVMVTJZKKOPBF3KA,None,7.547381401062012
5GK55WOQ6VIGDNYAK7YHMJH2RTAPV55BY7J5TDJHYCAQC26QT2LA,The landmark in the image is Tower Bridge.,3.432913303375244
SJQ26LWHLWQMK3HRO4BLFRYXIPHMCMKL4KRC7RDIA2M532EFYCGQ,The landmark in the image is The British Museum.,6.287458896636963
LNP74T3742CGFMFW2WBXGLW4WHVOSBRGD4H7LBQMVBFQFW3STMKA,None,6.0977959632873535
ZMVKLW7YKKNBVIFXWI5B5Z7352RDVHOYRA5HNKM6GMXW3O7ZZJSQ,Tower Bridge,3.6459052562713623
VXYJFEXIJLWZBUO5ZKV2VJML6MDTXGYEUOPYLTIS67E5CILPXYLQ,Big Ben,7.436740875244141
6Z53YM3OR72WY2PMA54Z7PFDTSTR5JE3CY2U3WKBFHLV5EN3LXQA,None,3.0380682945251465
FEKQQFC4YWARRESHFDWRVFCKTKTECPFDS4IM4SDZNN4X3QNPYEYA,The British Museum,2.395576000213623
ZPS2EAEBPRXDI3MEKB6KFN3XFGVAPWDEEQ3VINSSMLNJSSAIKLJQ,"The landmark in the image is Big Ben, which is part of the Palace of Westminster.",3.845036745071411
YSE7IXEUKU5YQTUHWE4NSKNWB4VZWXEUMPHNQN2J2AZN7SPOBZ2A,None,2.821972131729126
PBUDQULH2JATROKXJ4LSAC6V6I5N7DEMTFHKEOAOWIAECZG4FYUA,None,8.285067319869995
VTWI37I4YSMELK4S43DA5R5QUKEH4S3UZT6GRST6QIRB5INTLQEA,None,4.039764881134033
5O5R5JVQIGCUVPQTANIBP6XU5DJDNEPRSJA43OSB2S7WMPPLACRA,Tower Bridge,5.83142614364624
M7VMCCOOK3KLZIMG4BHAQAVY65ZNXBEY5K5B7WW22IBTXXKR3AHQ,None,7.028762578964233
O57B47WERWPQJBM3SPYZBQN5BBUREOBM4UJK6WCKWOUQGJXS5U4Q,None,8.786736488342285
MLS5M7PBRTCCCY7CTYUA7LSJQPZ2A43MB5EO7LBUKDP7U4HCRGDA,Tower Bridge,6.007016658782959
DOTRHLG3RFWBXSU4GPP54BRAU557R5MK3SQJI3B5XBLA74FGUA5Q,Lastminute.com London Eye,4.790033578872681
XKIA4NHVS4SOMXIYGFFDJOIVGTDVESGBMRVQLT5KP2BHO2AQVLIA,30 St Mary Axe (The Gherkin),3.6566953659057617
7XYLDNUZ32UZDG6EHUFVZ3PDPL7BHDXJYFSQJYCNSOT5IFWZJIXQ,None,5.860923767089844
XAZNB7T7XNF7SVNJMOZAW42MVDJ3BJHFCKJBF6HEEBBILHAP4FCA,The landmark in the image is the Palace of Westminster.,4.818950176239014
ZU7ZPWPYN6HWOH4Y4JOOTEUKSHANRHEAVEEVXWGTVXNPRDS6NFNA,The landmark depicted in the image is Big Ben.,6.750246286392212
EYWSUOLVTFE6W26MJOVXNNYULXA6GVZGQDZQ7WLTCAM6CCEOAT6A,None,5.496165037155151
OLXVRTGPGGWRJEG4KXRKKG72SSIQFEJKMGC4WNC3LSYXLHTBMVDQ,None,4.520353555679321
GBOTRIWYFDY2YW6BLVD5W6U3DNYLOMNDXY37GQQ3U6T5H7REOP3Q,None,6.3611273765563965
CMCFRUAU6OQGUN6NCJ2ZDZIUJUCBQ5DSNNJAD4Q3BXOQMI3LIQWA,None,26.795102834701538
TPIYSMPICRFDNXNBLCM5PEOD6AGAWDTR42WXESU62N2BPT3ORUUQ,Tower Bridge,2.0240390300750732
6SS7MMRRMYL3YJIR7CVEWFNZ7HT2GCUOMDS67ANHRW7AGQQWCZYQ,The British Museum,17.195172548294067
BJXBIIOWY4632OPIXNDI5W52LY525M5PM5M2C4YQOTIS5KHTWS6Q,None,7.552481651306152
YIC65KRQXDRFBNZ5653J5N3WNCRCZEXS262DGXK3UVLCBHO2EWUQ,None,3.5545814037323
KTYKP3SN63XLOTOR4ZIAH5VEDV2EECVTAEFLEYVNPMB7HI67XOKQ,Error in API call,4.896805047988892
CSYG6AM6B3SCYLZ33MPXA53OMDE2YQFA35TUAROKKMLUJLAL5WGQ,Big Ben,5.985504865646362
HCKQ4TODYUM23AVVT5YO4XVEY2H3L2NNOVKPCWZ42X6UPUTDU6JQ,Tower Bridge,15.928316593170166
6P6R4WXQH4SBC43V4ARAOX6XACPBWDXHUPJWSLS2OK5JDXKOZH2Q,None,5.877595901489258
B3J6VOO344E6UQK6TXY7SHJF3IZ7EH7TMZBTYNUIMEUE33ZIYSVA,Lastminute.com London Eye,4.357839107513428
2P4LNY7OGRCER57R6H5PXLYCX73EXWX3XO2WN6W7JXGQYZVCO6MA,The landmark in the image is Big Ben.,4.418916702270508
G6HI47K4NMNQ2VQT2MJO7WIX7GYBAN2L377UWBGMFMSSM64CLFGA,Big Ben,6.963014602661133
FMC2XQ7DRPYNLYB3E7OKETPQG6OA42LVHTQWCCZCVDPQCSSO2MUQ,Error in API call,6.747633457183838
CV7KZPN2PIMTIP3TEBXM2EP36SCO2OYZG6MQ54BZ64YOBPLSU3UA,The British Museum,4.861876726150513
3MQCPNTQNSMF5SLVHM6N4DYBCMXHW22HMUR466UK52VXKFVGIIMQ,Big Ben,7.869676351547241
BIUZZQMD6JQ36VCW7ZLL5PGHMI6FGO3KVZKGBK5ZMYAQSTDRF47Q,The British Museum.,7.251838684082031
SKSGDI523KNGX52RRA6SER3356L72WEHA7PYMZ6SPSQ24NPHCHQA,Error in API call,1.6025655269622803
ZAG555ITUPFJPRBESYW74DQERTFIB3S7ROKJ3UHLS4J5FIWSXL4Q,Tower Bridge,6.834979295730591
7TQ43CKIPR5TU3P5I47W2KNYSJS3Q6LDMRGPHA26FPLCGCJHQWFA,The British Museum,4.700855493545532
2AFWOO37IJZG4GOU5GMTBKNJX2OQTRQCOZB6YRD5Z72EJPOBLE4Q,"None 

The image does not show any of the landmarks listed.",7.809520483016968
C7M74ORSKTFZAXJSOCIPKF36XHG5XGOGGYSJUAXBS2SVMFYV6UBQ,None,8.336977481842041
I4FLPCCP42KVFEO6UE7N5DQ4K63RKRKEBPDEUVJYPH4VLK4UNNYQ,Trafalgar Square,3.9899256229400635
ZCC55JYCSHJZOQJFLZ7MOLT7KSGXACAT575LOHHRNJ5O5Z7HOIRQ,Big Ben,6.461907625198364
IMYDVSJBYGEWAXQYGN4T7OEZ6UND35MRU2HD7F7L7LZBIPD3T2SA,Tower Bridge,6.0887486934661865
43PFWET75N7H2PWJLMNGIVPJA6RT3C72BN53JEGCEB2S7DLINPHQ,None,3.088052988052368
L67D6MQGDO74IBTGDD4FEFQHOFKTOKM2W4BECPTWQXC3OOT6IAAA,The British Museum,7.254175901412964
7RA2BZMLYAVJ44WGTJ2SQESTGRTTDJNWKZK5MBLYITXGR2HPQ3YA,30 St Mary Axe (The Gherkin),11.046518087387085
NI7FCT67ATZ4CYLH367SGTTJUOGPOAS5SXS2XZTT5D2QNWYAMS7Q,Tower Bridge,2.9455080032348633
TG6BYMY335JCZ22AJEBDRH6BBSG3CY2JIGPIUP65AIEC4YPBQP3Q,Palace Of Westminster,4.942241191864014
OPREQFNAJ46FREQLFEPDRZXGN6AC3NYKPZHDY33LTU2RJAB33V6A,Error in API call,0.7848188877105713
R7JWQ6BHEHB3Q2FUTZ7AG2YHCEB3RIJBXGQHBLS4CIO262XQVITA,Error in API call,0.5765185356140137
WXFQT42KPDEQ46HTAZ3NBUAQBXAIWIPGDRLR7325YGZW37YYZG2A,Big Ben,4.297209978103638
HB3NXMU6Z7OOTBZVNB4XTY7EHBECBJ6XRSRJHQSE6P4Y2GFPBLUA,None,4.718813180923462
SWPQ2FXDSA2PH4KDMR56KNBPFJZ5C77DBKGBBAA4BPG5CG5XSTVA,Error in API call,0.6189954280853271
5PTIV6ZYZ3WN6O2NAKCBSFNWJFKQGJTAKQCHY4PDHEZXSHWDACBA,None,2.6759822368621826
U7T23QH5GEW7ODO3RSELSS6U52WXDJOVBWSDKXHGITOO62ZUXIVQ,None,3.8868906497955322
3Q6B2LVG2II4BHOPYF5DYXIIG7SKJYXFRWKYXF3TKKFDB5OGULBQ,None,1.6848828792572021
BPJOQOT2MINEYTPKCF6XYTRXHGIRAYVLZXA2LSMXAB7VSVNUR4HQ,The British Museum,7.218430519104004
7QKIQKGSXXXMPDVOQGUYMMLIJ2DGIHGCLACVBQPO6B7B52ZMQXZA,The British Museum,5.786592245101929
HQ7NCUKQBAEQ7D6JZBJKAGYNBVPACT2BSKCMUB3URBHSSI5RHYQA,Error in API call,0.8110826015472412
6AECQWEWDK4GXK2W36FS5QSL6KWNRBGA7QMJJXO6LOY6T2GBBYBQ,Big Ben,4.235996246337891
6C7NTRQTVG4SSMOGS5XKZP5E67FC2PVLL7JI6TWIJTQOKGDENTKA,Westminster Bridge,6.250910758972168
PFX5KCXWUNDTCFJZPCMPIIT3XBLSYJOAVI3QAYUJG3F3OOWBSGUQ,Tower Bridge,7.8389341831207275
R75UQ2ROLO5QV4IELKEDWOLTV4W57AVAQAAJT25GT5TY7M3MPR2Q,Lambeth Palace,21.19736623764038
KDMCVFEXAHTVJQIN2CWQPXJEO7B5A43DMHHVKMMZMX4JES2TPM5Q,Trafalgar Square,9.439452886581421
PUZAHY3OHJTQOROMHTE7SHIGF7V5P6E7BJV5VDQSX2D63ZJW3XAA,None,4.436735153198242
63DQK3GMNNIZXVHAWC552B2D6TAHP6G2NYGQS65TOL3SV5PIOWOQ,None,6.571943521499634
Y5MS3DYENBRDMXGQFDIEOGJ6TMKYVLTZ3YBHZPSVUFIY4DGOBNMA,Error in API call,4.304947137832642
5GDZPIJDZGCS3LU5X3IWSAIDMUD3SEZV52ERDHZ7LH5EUXD5KECA,None,5.246994733810425
TZS57T53U2LPT5CYEIYZLGXTD6TIQFNJ4FMKAYNCTPV4ARCIZGJA,Error in API call,1.2340052127838135
5MZCART62VLXX3QIPPZMTTYZSSVJGIOC752H3U3EZFHBN6YGHBXA,None,7.423659324645996
C2GP3D2AXGXL47VHIHRDOIEJCAY3HAIP6FLVZWX3DQ73EV7O6Q5A,The landmark in the image is Big Ben.,1.9916937351226807
EQKFQBGQ2NWONBXXR7YRV7MY36NGRHZHWYT6S2WFKW7XOW3B7V5A,None,3.20634388923645
FYIOGKCPXMWPNV4EY6UOFMHAUQEOQRWGCGO7LQA5ORHUIMN3N6GA,Error in API call,2.9595608711242676
UJZPDVCFOKZE5DFVOENIK3NVAUWZLTJOML6XNTBCMRBFRVUGD4QA,Big Ben,7.796830177307129
BKE7MEPVRSG7RQ4KT7US2E77AOLSOEM3DEYBVTAEKCCXMFFS4FXQ,None,9.141334295272827
DWP3B75QU3QLRINYB5ODOYAH7EKGJDYL5422G6HOHHSJDO2O7NSA,None,5.344326496124268
MTIUGMOFUEQHGMCXY2A4BRRBUYK5XJW67SURGW4PM6IT2UKOEMYA,The landmark in the image is Tower Bridge.,1.9415168762207031
ZSKZVZ5JC72YCW4L5F4FTLN3DQEV5Z7OSZF2LPT7Z74M6SCFJXKQ,The British Museum,5.380084276199341
R3HTEGBBOGHWGILNA2QX4BRBNCTSMMUYS7ZP3F6UYRGS4Z3RK5NQ,The landmark in the image is Big Ben.,4.759570837020874
GIJPCKVE45YKCRPSQ5PXGBAKMF23HGA4WXZRYVF7SL6J75ZH7VHA,Tower Bridge,2.5381555557250977
VY4CQZMR22YYJW7QQLVIBH62LWEQF55QIIHIDOK4AV6ZPMHZEKOA,None,9.141510486602783
Y5327KBUQ5PG2FRDGHGPHQHGSUUNKAGIHE2EWFCVNBIO6LXH6KIA,Error in API call,0.663100004196167
XKKNMEOJD5GMEHCHNHP2W52CL5KUR6ZGOB4XPSLPZZJKDBJMFZKA,30 St Mary Axe (The Gherkin),3.676331043243408
MTHUXYWDUWD54ZMKFRJE3Y4GF2PJXJM4BIBRXQMTLKACFVOK53IQ,None,4.951449632644653
M4MAYUJNYN5NIQNURLHTEJDXEACUUD4MGMONFIRYB7QOR5K7TC4Q,None,2.7988510131835938
5YY5D2USIXQ54XESE2IZ2YLDNTG7DWI2AY3QKIHALCXTI5T6EQ5A,None,3.67536997795105
ELZZ42RV2XYQUT6Y4UY6MOQSYU7BZBCVPPNQGAN6443TSN6EELYA,The British Museum,17.888654708862305
KWSYUAU5MTU3T3YIZG5EJJUO2DKGWAD5U2TO4GFCC34NU5MARV3A,The British Museum,5.880558490753174
KVZMYC7VT3VAV5U7PUHKZMM7CATLQJDUNRIZL5GUOLFH7OMLIYVQ,Error in API call,1.4843990802764893
BRJ3PREFXWPBFOPDPQWNODCWKV47OFDYYY6HKEHIMKUOTU3WZJHQ,Lastminute.com London Eye,6.488489627838135
VIDX6SJAA6SX22XZCG7EMTSPZDNKKJKYAODFKPC5TKXNX7KJYRYA,None,4.113455533981323
DVNCOTQCMIFDV5UADEVQDRV5US5XHWNFOGHWT6F4LNVANSDABBEQ,None,4.716368675231934
R3AZYE2NFFEDBN42UGGMCAZCB7AM4CDJE27ZMNSTHNMPXKW6IR2A,Westminster Bridge,4.819826364517212
Y6NLQOM5HGIEZAQJFRABGYZ2KJGPLG6FBS37LY2NV5Q3DGNO4EYQ,Lastminute.com London Eye,4.4223713874816895
HR3F3WBO6CLUA57ADMB2VFIP7FWM3IF4ZVPYVBIJGUOUKKK4F2PQ,Big Ben,11.65710735321045
DURUH25KLBOYEFTJP4IVVAASGBRC7DMR7RLPNCJXJ3KANA5VFH7A,Tower Of London,13.393143653869629
MDVXKSS7L4FMTADHUJLGNGJJ255OTRLIFWITQS3JD5AX7EEVE45A,Tower Bridge,5.2351744174957275
ZCNEOFRCQJ2YFEFVTJ4PTL4SFBW5KDDKSLLMUV45VRV3BBRLL2HQ,None,10.174242496490479
GYFKKSUX4NIX7EECS3RTDKBNR7PDZCI6G4UC56K6LROYVDOTFJKA,None,3.828582763671875
XVJ3VW3WFF6VXGR2K6WJGLFSROJNXBTX3RUTKXZ55MLD2M77TKQQ,None,10.35041618347168
WWFBLQKJKZ7XCTBMXKE62ECVAM5JWFOBHOLXWEYFMF7YXENLO3BQ,The British Museum,6.976963996887207
DYC23M7WKYXTARFQUPJOJXGZD4MYRGJ2NQFYADQ2I43M3PE2CMYA,Lastminute.com London Eye,7.666149139404297
STN3F6XMGAIJHXNNYI4BVCP7BNCIOKZAROZKE6VNLM5RYEZP6REA,The British Museum,6.797299146652222
ZWKU32WWE2IPEEWZGGYYCSFLU6PNGZIF52UYE6ROLGE673N2AAMA,The landmark in the image is the Lastminute.com London Eye.,7.319876194000244
VZVT4BBUTZDRKOHBVTBFKTUHSMIGKWLGEOHXBABYFWKZ2V3OGPUQ,None,6.2594146728515625
4TH6UEBI7TFEIC2V2QDQ4M4QDXWJ7MWXLRBE3RUOMBOJBS5HCQRA,None,4.591456174850464
SZ5TB35RAK24SCB3GJRBE7SPNTCLGVGSZEC3VNSIMXWAM34EMR6A,None,6.002450466156006
MMETMBDSZTY6ZVTA67VLIOUH6WDPVBM6EYK7INGTOB3QRZCDYDAA,None,3.3495688438415527
MN2JSJBB4VX5WOTHIBHVRMV2WCDI5NG4ATHFWXLWPXZ3T3KAYNTQ,Error in API call,0.8271005153656006
LY7X5NZJMDUTTAJ3CRVCSN67PAT5MXTJEM44VYG5RNXFSR3XCKSA,Error in API call,0.724402666091919
4MGPN45ZHJP23YAD3MZNDUYM26HGOFP4D4HILV3N27VOTTGFOZ5Q,Tower Of London,4.279758453369141
SK4HWZ7KOT2LAZPCFM2LXH3BTPV35JLXQLYIXL6ZHPNH4ZVDQE2A,Error in API call,1.777127742767334
EECT54DOIGMHPPRK5ETNGWPM6M3UXYULIDJFSWL7BJ34H6BLMLQA,Tower Bridge,3.398362398147583
LD7DAGLFKXNLSNKCC42BGSY34HWMCD2JD3BFUCXDESRUDP5DT2CQ,Tower Bridge,2.2686283588409424
JHZYENGV5ZYHE3WOH63L7VDY2L7O3BAXSR4JHTGY4EHDMK2BQACQ,None,3.8096771240234375
RRVJTWZUFB7JWUZTSDCFGLLJAC2BKV7TINH37JDMXT6M3THRKPSA,The British Museum,12.141585111618042
MDHIOHY7B7PPDV3XGR7TJTDMSJ6GK2A4ZXKNNNII6K45DJ4M62HQ,The British Museum,4.911911487579346
DPTR7RLM4PAOTHZAKWUINZK33QNOMB5QPCWJJWN6GEOJNCLIFL5A,None,4.392294406890869
WJLWQJL3XMI5VLDFJQ2XEEFSIHPZQ7OE2TPPBC6MMFRECVZQ3ZPQ,30 St Mary Axe (The Gherkin),2.6265015602111816
MA4MLPUUPX6DYERELIWYB57CTSZGQTZZE2PTPQATPKDSLQXIATIQ,Tower Bridge,6.640685558319092
XU2PC54TAJZQB6DSGRKLWURBOGFP7H3KE553JSLCVIAAQ6BIECQQ,The British Museum,9.142996072769165
PMFJ4ORZ4FLQLEVTWGMVRBM2DXJH4NHGFR2GWV3XWEOKPNCUE24A,Tower Of London,5.4129393100738525
KO7VP7SWM5YSAJJWIJDUVRPWWRN53GUVM2YY3TY57EMA45X3LFJQ,The landmark in the image is Tower Bridge.,2.2436721324920654
Z6YZRFQ6MTKRVQU3GDEQS3CGAJ7YSYJOCEAU4SOHGQA6FP3M27AQ,Tate Modern,1.1188225746154785
MAXJLDEVPXEK65YHFRXJ5YZO5PCJKCIY3PFMPBJOJ3DX6HVSPNKQ,Lastminute.com London Eye,20.91421627998352
EVACPVTUDDMLKRE5OCGI3AN5TNKWR65AJJKPTN4ZAYJ3A4XYHTQA,None,8.509389877319336
PVUZOS5J5C46MO2RCZZEUN73RV2DZPT42Q4MFKBPVW35VJ5DYHXQ,None,6.013745307922363
Y543IESASK6C4O5U6HA7KWP6MU6BEE7MEEPN3P7XHZRSH6KJ7K5Q,None,5.11316180229187
G54742QNNR7DZF6GBOR3B6Q4DSVRWLAP25BM3O43FS27O2T2BMOQ,Error in API call,7.859421491622925
RBP734F7DKJXD7LOE3RNHA5LAOX3MTJS3OE6P3GEO65KO3ODXGUQ,None,4.990250587463379
MJIALINGKBUY5XZVZYXXBV25CNEU52246EH6NCZT6J4ZXP4YLRCA,Error in API call,1.4404945373535156
HPNMW3GV6JISHIWJSXEKIEB4VNIC5B2KOJV63JI4FUJQWPTUHGQQ,Lastminute.com London Eye,4.265958070755005
MYIAFZ7L2RYRGU5DWQLSBRNOJ7RRCXQFXL3E7AHKTGMLEQH5MEVQ,Error in API call,0.9695167541503906
BRLATYWJ2K7MSF6UBI4ZJ6HZJUSXKHVKXFRHDWIKBIUXGKT43M4Q,Tower Bridge,5.881012678146362
3OAQSG5B5BUZVZJRZBI5VLBWSOHCXR4ZGUJA4776SBB23ZYEM4WQ,None,6.293694496154785
BDUJ3ODZSKVEQSVO3JXVIVJBBDOAGVMAIYKZ67IIASSA5QH3VRPQ,None,5.358458042144775
GNMGLAS4QJM4INYSMKKYCF62ZGWYTTRMM54QBTEV26F3BUFXM5NA,Lastminute.com London Eye,4.964504718780518
PZPY7V7ICSIWFRV25BIHSN32HH2LY5DMMUZZ475WPTXL6RYM3YLA,None,6.006513357162476
4BXD2BRLU236EFFP5RI6OLRCOG2LPOWLVEMZUYQITTL2CMY64M5A,Tower Bridge,7.324294090270996
42CSKLXTH75AFVYEGTFQNY3YZILEKNKNSG5GO2S6JBBEJRKVNWZQ,Tower Bridge,4.622507810592651
J6QIXLTYRMENM7FCKIXZWWMIC7NTCYESAZHYMPWXPNDT7HZ7MAWA,None,1.252129316329956
LSCMOJKXKBVJLJL3EZUN3SZHC7ACL652DIWN4C2G6XXUKWD4TZIQ,None,1.850701093673706
UI4G35YP2AGIQH7LZYWMF6Z2WERNCDTZJV5353AISUUCPCLZA22Q,The landmark in the image is the Lastminute.com London Eye.,8.928382635116577
7BUZXJV64HINVN5XXH7N64X6OZRLXYHYXOBILQWUNDL7HHOX3ZYQ,Lastminute.com London Eye,2.306304931640625
4NPULB4B7TVIY6L7KBZZA7JC7NCNJN4S2FV3RLBPG27DOP2NFCQQ,None,7.071656227111816
T7BHRF4XY6YGHPBEHFTVNSWDH3HNEYFJMC22Q4OEWCSLMVITEY3A,None,6.888774394989014
6J2PTVALV2TN3MCFFK5UESKCBEBFOYZKRHNZ4UO6IWNULWQKNCMQ,The landmark in the image is Big Ben.,2.273780584335327
PML25GJWMACHWTSSRF4JJQY3HDYZAMHQHZIBWZCR4LCNV64UCWRA,None,4.417107582092285
4TODNAZ37JP2KAIMYI5PCN66M63KKEL37OTMPIHDD2634NJZFL2Q,The landmark in the image is The Shard.,7.637696027755737
AZQW64LKXSDBJ2CRDVUW43ZWX3E4YQTG3IZCTMOGHIT6QLDEISMQ,The landmark in the image is Big Ben.,4.855205535888672
OP5HXEVEHKHIFNDSAUIEKESLQGY37RM37LDCEZCGLXVQAVZ4AFMQ,Error in API call,0.6082108020782471
LOGNJN5HH5PZPEUGBMCIL4LQTLYPX5PPR4X75YRBOIY72HMQ2JWA,Tower Of London,5.277685642242432
FVGJPPWJFPDYHQKFS6HA4ZGW3GZXZSALHQNA66NVJSH2GBQZFEZA,None,7.3841423988342285
5ICMSTKV2ZIUQYMMEXVHXCLIOEN32YIBVRDSXNEBSLZTHRLNY2OQ,The British Museum,2.4531447887420654
DMYRJHI72TZQHZTZGPI7WN2P4RMI72NULGLMJTERHG6UF7W3XTYA,Big Ben,6.134447336196899
FXNT3R3JBO5FQCHBNFVYBLYQHOVZJESIRT3JDY4JTHAG4TDHRI7A,Trafalgar Square,8.10677170753479
M2MKRHMYSTZQW446RP4AWK6ADPH4GIVYLMYKH2BY3BRWCH45NKRA,The landmark in the image is Big Ben.,11.279111623764038
2CMDM4PL4E6UW2YYX3THTWYO6ZLB73CHNMTWJCTJKOAU76Z5T5GQ,None,2.036808967590332
3EXGBXVMPMSUFUQMOJTD4ZLWAE2CP35LQPTZVSF5UAQXVH4A2VZA,Trafalgar Square,7.250031232833862
UUQSPKSZVBZUEUU5OC5DNB2EEPPPPWUVCVQVI4YLOMUCGAFBWGIQ,None,6.16346549987793
YOCE5VDTKT3X6YCMRVWEMD36FJL2MK3AVYRMUZSBB46FFLQUU3BA,The landmark in the image is the Palace of Westminster.,5.285206079483032
ORQCXLK54Y7D4BWD4JMWEQ53OEBD3D5MUCXA5CIYPJUMA22IAVLA,None,8.031275987625122
2JSZ4PCELFE7RPZ5XLT7D3TVA5BM4TIGA6BEZYAPFB6UNF2AMNGA,The British Museum,5.4002227783203125
NE7ATAQZS3NAM347JOOC24OEQLCFOXTT23RSBCF22YADPWQZTLNQ,Westminster Abbey,3.538292407989502
