,image_id,ground_truth,accommodation_id,longitude,latitude,driving_duration,walking_duration,transit_duration,image,tag_name,probability,accommodation_name,dt,distance_to_bigben,description,score,response_time,response_time_vision,detections_vision_openai,ground_truth_single,ground_truth_multiple
20,ZKHOFKYU6FOBUQFQPH4MUR27M7HLYYLW3XPKGJKXEO2U2QMUM3IA,[None],8567846,-0.1357,51.51915,16,27,20,https://imgcy.trivago.com/partner-images/ca/8e/e2ab14f15c1a40b079f8ca475f67cebc6176dddea3255723b54d419466d0,building,0.9998999834,Spectacular Penthouse Ideally Located In The Heart Of The West End Oxfor.,2024-03-07,1.63441813,None,0.2284678221,0.2769539356,3.773480892,None,None,None
21,IDXS2VNEOFID56EHEQ5NZ7LHKWHWTT6MLTWYUMGPQKLCG3CQ2SXA,[None],24561544,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/40/ef/2d55a471503ef887243adcfd67558f69cfcc5ced8a30cf8296236c50d4ae,building,0.9998000264,2 Br Large Modern Apartment Hyde Park,2024-03-07,0.8202509419,None,0.4069130421,0.8050601482,8.720658779,None,None,None
22,H72AICWAIVKCQ3JQYERFX3KVDHAHCXVOXR2UDICYUU36E53VUNMA,[None],17603990,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/3f/f4/040ac04554286d30c1225bed5519c0715eaebc7541a058a537e27775a358,building,0.9998999834,Lovely One Bedroom Newly Decorated,2024-03-07,0.8202509419,None,0.1840740442,0.3514990807,9.451023817,None,None,None
23,DKXU2EBOOSDAWQOP2NSPRYD3IYSW3MCDEJSBII5MKDOOQHJZL27Q,[None],893427,-0.12472,51.52042,10,21,14,https://imgcy.trivago.com/partner-images/1a/af/4d102e74860b41cfd364f8e07b46256db04322641423ac50dce81d395ebf,building,0.9988999963,Grange Beauchamp Hotel,2024-03-07,1.246781618,None,0.3198962808,0.6712939739,5.818837404,None,None,None
24,VTRNGCOARU4C2TA6QRKXSEIOOLIDCVUDWPPPR6QSSN4JV25KGD2A,[None],36419574,-0.1012,51.5132,7,20,8,https://imgcy.trivago.com/partner-images/ac/e2/d309c08d382d4c1e845579110e72d0315683b3def8fa1293789aebaa30f4,building,0.9998999834,Master St. Pauls,2024-03-07,1.123102784,None,0.344552815,0.2662668228,6.752092838,30 St Mary Axe (The Gherkin),None,None
25,LVPD6WKI6JYCQBZUQH45TF43DDKBG6R6KMVKYNJERTARBQQ3SBYA,[None],26344724,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/5d/5e/3f5948f27028073481f9d9979b18d4137a3e532aac35248cc110c21b9070,building,0.9998999834,The Courtfield Plaza,2024-03-07,0.8202509419,None,0.3182832301,0.6792192459,8.631369591,None,None,None
26,UGE5ZALNPHQW25O3G32OPM4J6PSGBEI43AVMBA7MIEYXWFFOANBA,[Big Ben],30080756,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/a1/89/dc816d79e16d75db36f4e7b389f3e460911cd82ac083ec41317b14ae0342,building,0.9998999834,5star Zone1 Apt Slps 5/6 Superfast Wifi- Roof Terrace,2024-03-07,0.8202509419,None,0.7208587527,0.7542254925,6.274702787,Big Ben,Big Ben,Big Ben
27,DYYCPCAE5NDSI345J4LW5A67UJTMBIJGHFX5CFZOSZ3BGEZ2GBCQ,[None],129815,-0.12437,51.52011,10,21,13,https://imgcy.trivago.com/partner-images/1e/30/278804eb47246f9d4f176e83dfa266c0a126396fd1172e967613133a3045,building,0.9824000001,Grange Portland Hotel,2024-03-07,1.205181547,None,0.3108293712,0.4548594952,5.202077627,None,None,None
28,5YY5D2USIXQ54XESE2IZ2YLDNTG7DWI2AY3QKIHALCXTI5T6EQ5A,[None],30977218,-0.1275,51.50722,4,14,12,https://imgcy.trivago.com/partner-images/ee/31/d1ea9245e1de5c9226919d61636ccdf1d91a06370520e058af34767e243a,building,0.9998999834,"Modern Tower Hamlets 1br On High Floor, Near Canary Wharf, By Blueground",2024-03-07,0.8202509419,None,0.2135584354,0.3225662708,3.435446739,None,None,None
29,RAE7BP6XKT23PUYVVH5Q5GPLT3REOWIUTVGFSLDUALGITIGETZKA,[The Shard],22032936,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/88/09/f0bfd754f5b7d315a9fb0e99eb9ee24759149d4c592c7402cc89a0c49e54,beach,0.9998999834,Victorian Conversion Garden Flat,2024-03-07,0.8202509419,None,0.5505720973,0.3632330894,4.623021126,Tower Bridge,The Shard,The Shard
30,757E4FQDJC5DWUO6Y3WBZDIYBFWGV6AK5LRNUYEM5PUILBEIWIZA,[None],33619904,-0.141,51.49463,12,40,16,https://imgcy.trivago.com/partner-images/ff/7e/4e160348ba3b51dec6ec1c8d18096c6af80aeae2da608cebe8858488b232,building,1.0,The Victoria Flats,2024-03-07,2.422854659,None,0.3200351,0.1912558079,3.157850027,None,None,None
31,LIPE3D2KSBIVOBBIEQL5HQMM46HIBOUAROPPZ2HKUPUTOGFUNORA,[None],12653,-0.14384,51.508,13,31,20,https://imgcy.trivago.com/partner-images/5a/1e/4d8f4a90515704282417d3c18ce78e80ba808b9efce8eaa3e93718b46ba2,building,0.9998999834,"The May Fair, A Radisson Collection Hotel",2024-03-07,1.891461811,None,0.2917703986,0.4391372204,6.121544123,None,None,None
32,KSLYO2BS4ENBOKKI2WIGUCUV4LEJ2NQ5VGCNIPHM7XH2TJJBNVZQ,[None],33086724,-0.11087,51.51711,7,15,15,https://imgcy.trivago.com/partner-images/54/97/876832e11a172948d5906a0a95e2c89d361da984d43cecfdcfa9a5216d73,building,0.9998999834,Deluxe Entire Apartment At London West End,2024-03-07,0.85481714,None,0.4590624571,0.1372134686,1.760255814,None,None,None
33,2QL6PGFN2VBKO6UJ62ZGX56DL2GTRBWOA57HNBTVNPSCWAIIIDIQ,[None],33086724,-0.11087,51.51711,7,15,15,https://imgcy.trivago.com/partner-images/d4/17/e798add542a77a89f6b26bf7c35e8d3886ce077e7686756be42b010840d1,building,0.9998999834,Deluxe Entire Apartment At London West End,2024-03-07,0.85481714,None,0.3193735182,0.1506874561,2.471335173,None,None,None
34,PY72BYSFGHX7T3GWUEIT75LZAIV6EWV7YXMEBJZEUGEKYJDDOO2Q,[None],12644,-0.14837,51.51489,19,37,20,https://imgcy.trivago.com/partner-images/7e/3f/a0e24531eff9ecd6a1113ff579022be25abfc5d840a724a188ac246373b5,building,0.9824000001,Radisson Blu Edwardian Bond Street Hotel - London,2024-03-07,2.243901532,None,0.3108293712,0.2723059654,3.888683081,None,None,None
35,ZNTKXABRTBCRA56Z4LOMYOHVWLPXNIOW4RW5BG2CS7FB7RYEGFLQ,[None],30754398,-0.1275,51.50722,4,14,12,https://imgcy.trivago.com/partner-images/cb/66/ab803198451077d9e2dccc38f5b2df76a1d6e46dd09b4297ca1fc7043157,building,0.9998999834,Stunning 2 Bedroom Flat In The Heart Of Bermondsey,2024-03-07,0.8202509419,None,0.6257355809,0.3507597446,6.861199379,None,None,None
36,PX5KIGWQM4IOP32YQN7EWSGP3JYNUSDBWCOXCJ36IHYDLABZQVFA,[None],34314032,-0.09527,51.50192,9,34,26,https://imgcy.trivago.com/partner-images/7d/fa/a41ad06710e7ef58837e4b48cfda70da4861b09d71277e41f0358039854a,building,0.9998999834,Deluxe Tower Bridge Apartment,2024-03-07,1.759266329,None,0.5575587153,0.1047394276,3.165395021,None,None,None
37,HFDHKQ2KZ2NNYKKTWFKHWRSPY35G2AEYNZ2U2WQ7GV4AXWKQD6AQ,[None],28615264,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/39/46/75434ace9adc2953b1547b464fc6fa6d00986e754d5a1f35780bd9501f81,building,0.9998999834,Unique Studio In Kensington 2 Minutes To Hyde Park,2024-03-07,0.8202509419,None,0.6548466086,0.1843960285,2.875901937,None,None,None
38,ICEDQYKGV2RPNA5KCY7ZSRT4TZZB4AXZFRSSLCVM5LPGJTP2KH2A,[None],152921,-0.10185,51.49904,10,30,16,https://imgcy.trivago.com/hotelier-images/40/88/386146aea2f683aa163f99467c9e721e02f92c65258aaceade64cdfa51f4,building,0.9998999834,The Bridge Hotel,2024-03-07,1.627999635,None,0.3865809739,0.1651687622,2.778597593,None,None,None
39,3VQSS6KOLMCH3SW4MGNOS2SCXFYOMAKYUUEMGBLMR47MMPJVU4KA,[None],47787,-0.13047,51.50915,7,17,11,https://imgcy.trivago.com/partner-images/dd/61/29794e5b047dcadc619ae96a42b970e60158a508c3056c8f3ec63d35a714,building,0.9824000001,Thistle London Trafalgar Square,2024-03-07,0.9573656007,None,0.3108293712,0.26882267,3.571700096,None,None,None
40,TVAG36YRSD7AAU5KXQDNPUS56J4553GNPJTMEGN4BCQ3U62TOVOA,[None],9462704,-0.12983,51.51528,9,18,16,https://imgcy.trivago.com/partner-images/9d/40/6dfb1190fe0053aabc06d7d25df279deeccd7a66c219bc08a1ba7b53755c,building,1.0,Italianflat - Shaldon,2024-03-07,1.056446934,None,0.3886410892,0.1266407967,2.78617835,None,None,None
41,PBOC52M7NVNJ65YWF32PCLI4N2ZUCMPYLKFFGLS542J4BXQJ3YGQ,[None],30628994,-0.13776,51.49911,9,32,13,https://imgcy.trivago.com/partner-images/78/5c/2ee99f6d5a9f77162ef4f12d1c6eb34131f85a8a532e5de693c0de09de0d,building,0.9998999834,Stylish London Getaway In The Heart Of The City,2024-03-07,1.916773657,None,0.7010866404,0.2505624294,4.188871861,None,None,None
42,R4F6GKZZ62LXAYJLY5F5FWY66C5352KFMYYFXT4E7DVYZ25HFWWQ,[None],19859538,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/8f/0b/e32b39f69770612bc74bd2db1ef0bbbee94566305bcf84f8eb8ceba72dad,building,0.9994000196,Studio Flat Amazing Location,2024-03-07,0.8202509419,None,0.7529951334,0.5685584545,5.766620874,None,None,None
43,AZQW64LKXSDBJ2CRDVUW43ZWX3E4YQTG3IZCTMOGHIT6QLDEISMQ,[Big Ben],10823816,-0.11345,51.50029,11,21,13,https://imgcy.trivago.com/partner-images/06/61/6f716abc8614e8511d696e6f36bec9cc4266da3229b1c63a27e82c644499,building,0.9998000264,Best Deal In Central London,2024-03-07,1.142784151,None,0.8356257677,0.182747364,3.959502935,Big Ben,Big Ben,Big Ben
44,GYFKKSUX4NIX7EECS3RTDKBNR7PDZCI6G4UC56K6LROYVDOTFJKA,[None],20682736,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/36/0a/a54a97e3517f908296e331a82d8fde3c891e37282ef95e5c5d8a8dd32a54,building,1.0,Luxury Mayfair 2 Bed. Every Room Tells A Story,2024-03-07,0.8202509419,None,0.4208331406,0.3083696365,7.482872248,The British Museum,None,None
45,PBUDQULH2JATROKXJ4LSAC6V6I5N7DEMTFHKEOAOWIAECZG4FYUA,[None],12693,-0.12731,51.52347,11,27,17,https://imgcy.trivago.com/partner-images/78/68/385167d24138b9574f17200bd5f23adf8c8c994ea2380eb2004164dc2e28,building,0.9998999834,The Royal National Hotel,2024-03-07,1.630231849,None,0.3887794912,0.2095592022,3.265625477,None,None,None
46,KUSGK7BI7LVL4E3GJDNEMRPWUIXESZRUKXSQCYHO2PGT57TPDTQA,[None],28503346,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/55/24/657c28faeabe136648da4645f6a22e49663455e50160eed3cd3efe6f1ce0,building,0.9998999834,Pass The Keys | Newly Renovated Apartment By Barbican,2024-03-07,0.8202509419,None,0.5326424241,0.336098671,7.342485905,None,None,None
47,TYTL5OFBDRFERRAUGD7ICARNAIRWTGFJ44C4NOG4ZEYSR2PTUELA,[None],22108358,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/9e/26/beb8a11c4a48c41430fe81022d02236998a9e705c6b8dcc93128e9f3a116,bedroom,0.9998999834,Elegant Two Bedroom Apartment With Winter Garden,2024-03-07,0.8202509419,None,0.20556508,0.2769463062,4.827816486,None,None,None
48,KNAKVEAL76JX4F73DI6VJ7RQZMUJBOLQRQA6RXYMYWF4QMLJ4PCA,[None],19068030,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/53/40/aa900bff937e17fb1a3d54fe30cb2890b9708c01e8df0cc58bc83169e3c4,swimming-pool,0.9998999834,"Modern Studio, Regents Park - Sk",2024-03-07,0.8202509419,None,0.5852620006,0.3718037605,5.408308983,None,None,None
49,HGGLOULBEK4YO3WZMCIW7ZPUR5QOJXB5SFW2BLNY3GXLZXMXAZ6Q,[None],30226106,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/39/8c/b7516122b9876ed960916fe5f48f60e4dc3d916da0adb8d9aebcdd97067d,building,0.9998999834,"Aesthetic & Modern Townhouse, Marylebone",2024-03-07,0.8202509419,None,0.615172267,0.2539439201,5.357625961,None,None,None
50,DGQ3F3SLZXHXTYX2DPH2OWBOMBCM33YWHHO44YF72OID7FXGPZ4Q,[None],29495398,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/19/a1/b2ee4bcdcf79e2fa1bcfa7582e6044cdef1639ddce60bfd3903f96e67e79,building,0.9998999834,"Travelling Solo? Home Within A Home, With Private Kitchen, In West Kensington",2024-03-07,0.8202509419,None,0.5761830807,0.3809974194,3.56156826,None,None,None
51,R47XA2JLYUUTTSK7K7QUZV5GEOLHTYWZEOA5VBIF3WK2TQLBW7AA,[None],31593862,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/8f/3f/70692bc52939c95f57e14cd7a6239679e2d92381da8505dd95a9c161b7c0,building,0.9998999834,Stunning 2 Bedroom Apartment In Fulham,2024-03-07,0.8202509419,None,0.6312831044,0.2184176445,2.610791922,None,None,None
52,ZQPD6IXCY5ZYJDHPOOQHXHZ6FFZS437XNKJXSVNPWO4UYKI5GRQA,[None],27984054,-0.1275,51.50722,4,14,10,https://imgcy.trivago.com/partner-images/cc/1e/3f22e2c773848cef73a07b9f3e29732e6ff76a937955afb3b94c291d3460,building,0.9998999834,Amazing Mayfair 2 Bedroom 2 Bath Air Conditioned,2024-03-07,0.8202509419,None,0.4574360251,0.4644126892,4.463676214,None,None,None
53,JHZYENGV5ZYHE3WOH63L7VDY2L7O3BAXSR4JHTGY4EHDMK2BQACQ,[None],12693,-0.12731,51.52347,11,27,17,https://imgcy.trivago.com/partner-images/49/f3/8234d5ee70726ece3fb6bfd478d2feed8417947893ccd8e10e362b418005,building,0.9998999834,The Royal National Hotel,2024-03-07,1.630231849,None,0.3887794912,0.1236293316,3.108010292,None,None,None
54,QEOFHF7XWT3SFOGPENC4HULYTZY6K5N76IHSHRHMLHB2ZIOLZLFQ,[None],35841984,-0.12921,51.5099,7,14,14,https://imgcy.trivago.com/partner-images/81/1c/5397f7b4f722b8cf2345c3d1789e71e575bff20f23c4ec59c3aca1cbcacb,building,0.9998999834,Altido Elegant Apt In Leicester Square,2024-03-07,0.8622037829,None,0.5018699169,0.456859827,4.201835632,None,None,None
55,YJHS4ZFBH6HBNJV5OX7EFC6ROUPH575LH2BOJP2KLC5LPYARTVJA,[None],18009662,-0.12077,51.51291,6,8,8,https://imgcy.trivago.com/partner-images/c2/4f/2e64a13f8e16a6bd75fe428bd1751e7effab3e82e4bf4a58bab7e0119d52,building,1.0,Boswell & Johnson 2bedroom Covent Garden Flower Market Apartment C,2024-03-07,0.3963562278,None,0.4437527061,0.2536227703,5.189270735,None,None,None
56,KR3A3L26MR3J2B4LUN52SOQUIYZ2KCQYGCSJ3G7UZ4QYKPMAUPVQ,[None],19068030,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/54/76/0daf5e64769d078ba37ba93a144633a50a1830a49d9bf4cf21853d80a3eb,swimming-pool,0.9998999834,"Modern Studio, Regents Park - Sk",2024-03-07,0.8202509419,None,0.5852620006,0.3884129524,4.91755271,None,None,None
57,IAIEXME4AZXZLQQZ4BSNQY54BQFSTTYHRS5ZAHCCS57LR7R4I23Q,[None],16160,-0.13617,51.50931,10,22,12,https://imgcy.trivago.com/hotelier-images/40/10/4bb09c066f95c219e064d863bc0c0b29cf078cbb901c42977eb8fe3c46b7,building,0.9998999834,Le Meridien Piccadilly,2024-03-07,1.347420826,None,0.4020584226,0.1533660889,2.322445631,None,None,None
58,TUW74DEUK3XM4456SO6KN4C46WCTW4YTV2SR44CYU2PETYEF2U5A,[None],13293688,-0.14183,51.50878,14,29,18,https://imgcy.trivago.com/partner-images/9d/2d/fe0c9456eece73be93bca6f05cf5853b7313aea51e7058a69e49e085d53a,bedroom,0.9993000031,Superb New Mayfair 1 Bed 1.5 Bath £5 Million Air Conditioned Free Wifi,2024-03-07,1.742939369,None,0.3300343454,0.4450850487,4.594941854,None,None,None
59,2P3VD5VUP5E4KTJWXJGP6X2YIVFS6NOSYCFHC2PA7T6W7J4ULW7Q,[None],8839568,-0.1275,51.50722,4,14,11,https://imgcy.trivago.com/partner-images/d3/f7/51f6b47f49c54d36ba4cff5f58454b2f35d2c08a7169e0fcfd6fa7945dbf,swimming-pool,0.9997000098,"Edis Street Iii - Four Bedroom Apartment, Sleeps 6",2024-03-07,0.8202509419,None,0.56636554,0.5250222683,5.635605097,None,None,None
60,MMETMBDSZTY6ZVTA67VLIOUH6WDPVBM6EYK7INGTOB3QRZCDYDAA,[None],48064,-0.12428,51.50612,4,10,10,https://imgcy.trivago.com/partner-images/63/09/360472ccf1ecd660f7eab43a87f586fa859e2615f434d3707708e443c0c0,building,0.9998999834,"The Royal Horseguards, London",2024-03-07,0.7013514482,None,0.6016451716,0.1688072681,1.993004084,None,None,None
61,XNM35R6LG3KIZSW27GD2JMRK72CYKJNSQNK4YQGH7YCQD5GCEJ5Q,[None],19339092,-0.1275,51.50722,4,14,9,https://imgcy.trivago.com/partner-images/bb/59/bec7cb36d48ccadaf987a4b22afe858525b28355cc40c7fe0501f4c2227b,building,0.9998999834,The West End Penthouse - 4bdr Fitzrovia Penthouse With Spectacular Views,2024-03-07,0.8202509419,None,0.23912853,0.2080798149,2.365013123,None,None,None
62,YNIH7LO5YMBJPKVQG7S4NW6R2K3PXFGOS3K6OHJ7TIUHQFKHWCBQ,[Tower Bridge],2416802,-0.10485,51.50518,11,23,14,https://imgcy.trivago.com/partner-images/c3/50/7fadddc30297aab037e5c6dbd1d2b6fb94ce96d5e71d3f9a28781547b083,building,0.9998999834,ibis London Blackfriars,2024-03-07,1.006129659,None,0.5235896707,0.4621429443,4.947137356,Tower Bridge,Tower Bridge,Tower Bridge
63,TZS57T53U2LPT5CYEIYZLGXTD6TIQFNJ4FMKAYNCTPV4ARCIZGJA,[None],31018584,-0.1275,51.50722,4,14,12,https://imgcy.trivago.com/partner-images/9e/65/dfcfbba696f9f4582231959af31fa68815a9e158a061a29bebc04448c992,building,1.0,Chepstow Road X By Onefinestay,2024-03-07,0.8202509419,None,0.6671175957,0.5989770889,5.391092539,None,None,None
