accommodation_id,latitude,longitude,driving_distance,walking_distance,transit_distance
24773854,51.50722,-0.1275,4 mins,14 mins,10 mins
24611884,51.50722,-0.1275,4 mins,14 mins,10 mins
23130562,51.50722,-0.1275,4 mins,14 mins,10 mins
20707622,51.50722,-0.1275,4 mins,14 mins,10 mins
12712,51.5104,-0.12686,9 mins,13 mins,9 mins
20645006,51.50722,-0.1275,4 mins,14 mins,10 mins
25418246,51.50722,-0.1275,4 mins,14 mins,10 mins
24983540,51.50722,-0.1275,4 mins,14 mins,10 mins
25511298,51.50722,-0.1275,4 mins,14 mins,10 mins
25511548,51.50722,-0.1275,4 mins,14 mins,10 mins
25399284,51.50722,-0.1275,4 mins,14 mins,10 mins
23135564,51.50722,-0.1275,4 mins,14 mins,10 mins
14503800,51.50769,-0.13033,6 mins,16 mins,11 mins
14924540,51.51066,-0.1299,10 mins,16 mins,10 mins
20420696,51.50935,-0.12412,7 mins,9 mins,8 mins
20053326,51.51135,-0.12595,8 mins,12 mins,10 mins
25708900,51.51266,-0.12733,8 mins,14 mins,14 mins
24057638,51.50722,-0.1275,4 mins,14 mins,10 mins
24936218,51.50722,-0.1275,4 mins,14 mins,10 mins
17638316,51.50722,-0.1275,4 mins,14 mins,10 mins
26192376,51.50722,-0.1275,4 mins,14 mins,10 mins
25576304,51.50722,-0.1275,4 mins,14 mins,10 mins
26313582,51.50722,-0.1275,4 mins,14 mins,10 mins
26423736,51.50722,-0.1275,4 mins,14 mins,10 mins
26362232,51.50722,-0.1275,4 mins,14 mins,10 mins
26249840,51.50722,-0.1275,4 mins,14 mins,10 mins
22763562,51.50722,-0.1275,4 mins,14 mins,10 mins
25677484,51.50722,-0.1275,4 mins,14 mins,10 mins
23881052,51.50722,-0.1275,4 mins,14 mins,10 mins
26419224,51.50722,-0.1275,4 mins,14 mins,10 mins
17250642,51.50722,-0.1275,4 mins,14 mins,10 mins
19039176,51.50998,-0.12539,6 mins,11 mins,8 mins
24490830,51.50722,-0.1275,4 mins,14 mins,10 mins
11753286,51.50722,-0.1275,4 mins,14 mins,10 mins
26375232,51.50722,-0.1275,4 mins,14 mins,10 mins
22059774,51.50722,-0.1275,4 mins,14 mins,10 mins
26256592,51.50722,-0.1275,4 mins,14 mins,10 mins
21679534,51.50722,-0.1275,4 mins,14 mins,10 mins
27758962,51.50722,-0.1275,4 mins,14 mins,10 mins
26203966,51.51577,-0.12357,11 mins,14 mins,14 mins
15563292,51.51801,-0.12005,7 mins,15 mins,12 mins
33470424,51.50722,-0.1275,4 mins,14 mins,10 mins
11953830,51.50722,-0.1275,4 mins,14 mins,10 mins
33058758,51.50722,-0.1275,4 mins,14 mins,10 mins
33066752,51.50722,-0.1275,4 mins,14 mins,10 mins
33071516,51.50722,-0.1275,4 mins,14 mins,10 mins
33078632,51.50722,-0.1275,4 mins,14 mins,10 mins
32689994,51.50722,-0.1275,4 mins,14 mins,10 mins
33509656,51.50722,-0.1275,4 mins,14 mins,10 mins
33057262,51.50722,-0.1275,4 mins,14 mins,10 mins
32969216,51.50722,-0.1275,4 mins,14 mins,10 mins
32522098,51.50722,-0.1275,4 mins,14 mins,10 mins
32520924,51.50722,-0.1275,4 mins,14 mins,10 mins
32524390,51.50722,-0.1275,4 mins,14 mins,10 mins
29101310,51.50722,-0.1275,4 mins,14 mins,10 mins
28579998,51.50722,-0.1275,4 mins,14 mins,10 mins
29497158,51.50722,-0.1275,4 mins,14 mins,10 mins
28843744,51.50722,-0.1275,4 mins,14 mins,10 mins
28831616,51.50722,-0.1275,4 mins,14 mins,10 mins
32092358,51.50722,-0.1275,4 mins,14 mins,10 mins
31561960,51.50722,-0.1275,4 mins,14 mins,10 mins
31979984,51.50722,-0.1275,4 mins,14 mins,10 mins
32085798,51.50722,-0.1275,4 mins,14 mins,10 mins
33468150,51.50722,-0.1275,4 mins,14 mins,10 mins
32084994,51.50722,-0.1275,4 mins,14 mins,10 mins
31737418,51.50722,-0.1275,4 mins,14 mins,10 mins
28989666,51.50722,-0.1275,4 mins,14 mins,10 mins
28747728,51.50722,-0.1275,4 mins,14 mins,10 mins
29423220,51.50722,-0.1275,4 mins,14 mins,10 mins
28953486,51.50722,-0.1275,4 mins,14 mins,10 mins
28957918,51.50722,-0.1275,4 mins,14 mins,10 mins
29423376,51.50722,-0.1275,4 mins,14 mins,10 mins
29435054,51.50722,-0.1275,4 mins,14 mins,10 mins
29433522,51.50722,-0.1275,4 mins,14 mins,10 mins
28939312,51.50722,-0.1275,4 mins,14 mins,10 mins
23915650,51.50722,-0.1275,4 mins,14 mins,10 mins
29429684,51.50722,-0.1275,4 mins,14 mins,10 mins
15203570,51.50722,-0.1275,4 mins,14 mins,10 mins
27745506,51.50722,-0.1275,4 mins,14 mins,10 mins
31562160,51.50722,-0.1275,4 mins,14 mins,10 mins
22769730,51.50722,-0.1275,4 mins,14 mins,10 mins
22786948,51.50722,-0.1275,4 mins,14 mins,10 mins
29948118,51.50722,-0.1275,4 mins,14 mins,10 mins
20932280,51.50722,-0.1275,4 mins,14 mins,10 mins
20956802,51.50722,-0.1275,4 mins,14 mins,10 mins
21610864,51.50722,-0.1275,4 mins,14 mins,10 mins
20784848,51.50722,-0.1275,4 mins,14 mins,10 mins
21536084,51.50722,-0.1275,4 mins,14 mins,10 mins
31951374,51.50722,-0.1275,4 mins,14 mins,10 mins
31833966,51.50722,-0.1275,4 mins,14 mins,10 mins
31897240,51.50722,-0.1275,4 mins,14 mins,10 mins
28483442,51.50722,-0.1275,4 mins,14 mins,10 mins
24934954,51.50722,-0.1275,4 mins,14 mins,10 mins
22005488,51.50722,-0.1275,4 mins,14 mins,10 mins
17596190,51.50722,-0.1275,4 mins,14 mins,10 mins
28518430,51.50722,-0.1275,4 mins,14 mins,10 mins
31872808,51.50722,-0.1275,4 mins,14 mins,10 mins
27058102,51.50722,-0.1275,4 mins,14 mins,10 mins
24946168,51.50722,-0.1275,4 mins,14 mins,10 mins
24914346,51.50722,-0.1275,4 mins,14 mins,10 mins
23573472,51.50722,-0.1275,4 mins,14 mins,10 mins
24111306,51.50722,-0.1275,4 mins,14 mins,10 mins
31033162,51.50722,-0.1275,4 mins,14 mins,10 mins
28465218,51.50722,-0.1275,4 mins,14 mins,10 mins
32294436,51.50722,-0.1275,4 mins,14 mins,10 mins
31955362,51.50722,-0.1275,4 mins,14 mins,10 mins
29583738,51.50722,-0.1275,4 mins,14 mins,10 mins
31960568,51.50722,-0.1275,4 mins,14 mins,10 mins
31957574,51.50722,-0.1275,4 mins,14 mins,10 mins
31912294,51.50722,-0.1275,4 mins,14 mins,10 mins
31896542,51.50722,-0.1275,4 mins,14 mins,10 mins
31940852,51.50722,-0.1275,4 mins,14 mins,10 mins
31960376,51.50722,-0.1275,4 mins,14 mins,10 mins
19060342,51.50722,-0.1275,4 mins,14 mins,10 mins
31097170,51.50722,-0.1275,4 mins,14 mins,10 mins
29580582,51.50722,-0.1275,4 mins,14 mins,10 mins
29650778,51.50722,-0.1275,4 mins,14 mins,10 mins
28635392,51.50722,-0.1275,4 mins,14 mins,10 mins
21908028,51.50722,-0.1275,4 mins,14 mins,10 mins
24812750,51.50722,-0.1275,4 mins,14 mins,10 mins
32052150,51.50722,-0.1275,4 mins,14 mins,10 mins
15180924,51.50722,-0.1275,4 mins,14 mins,10 mins
28633626,51.50722,-0.1275,4 mins,14 mins,10 mins
32142136,51.50722,-0.1275,4 mins,14 mins,10 mins
32124734,51.50722,-0.1275,4 mins,14 mins,10 mins
23722986,51.50722,-0.1275,4 mins,14 mins,10 mins
33008414,51.50722,-0.1275,4 mins,14 mins,10 mins
10379082,51.50722,-0.1275,4 mins,14 mins,10 mins
29157560,51.50722,-0.1275,4 mins,14 mins,10 mins
26992194,51.50722,-0.1275,4 mins,14 mins,10 mins
27055874,51.50722,-0.1275,4 mins,14 mins,10 mins
27056746,51.50722,-0.1275,4 mins,14 mins,10 mins
27057156,51.50722,-0.1275,4 mins,14 mins,10 mins
32374844,51.50722,-0.1275,4 mins,14 mins,10 mins
28895672,51.50722,-0.1275,4 mins,14 mins,10 mins
29589338,51.50722,-0.1275,4 mins,14 mins,10 mins
24048432,51.50722,-0.1275,4 mins,14 mins,10 mins
19757596,51.50722,-0.1275,4 mins,14 mins,10 mins
10628792,51.51536,-0.12764,10 mins,16 mins,15 mins
32747398,51.50722,-0.1275,4 mins,14 mins,10 mins
32338072,51.50722,-0.1275,4 mins,14 mins,10 mins
32479626,51.50722,-0.1275,4 mins,14 mins,10 mins
25372646,51.50722,-0.1275,4 mins,14 mins,10 mins
23774786,51.50722,-0.1275,4 mins,14 mins,10 mins
17637734,51.51156,-0.11798,8 mins,6 mins,6 mins
32296514,51.50722,-0.1275,4 mins,14 mins,10 mins
15538944,51.50722,-0.1275,4 mins,14 mins,10 mins
23459522,51.50722,-0.1275,4 mins,14 mins,10 mins
27115148,51.50722,-0.1275,4 mins,14 mins,10 mins
32457240,51.50722,-0.1275,4 mins,14 mins,10 mins
29695192,51.50722,-0.1275,4 mins,14 mins,10 mins
32477852,51.50722,-0.1275,4 mins,14 mins,10 mins
32483032,51.50722,-0.1275,4 mins,14 mins,10 mins
30370236,51.50722,-0.1275,4 mins,14 mins,10 mins
32388968,51.50722,-0.1275,4 mins,14 mins,10 mins
27836414,51.50722,-0.1275,4 mins,14 mins,10 mins
31092030,51.50722,-0.1275,4 mins,14 mins,10 mins
29676696,51.50722,-0.1275,4 mins,14 mins,10 mins
32577028,51.50722,-0.1275,4 mins,14 mins,10 mins
32532370,51.50722,-0.1275,4 mins,14 mins,10 mins
32587894,51.50722,-0.1275,4 mins,14 mins,10 mins
32648208,51.50722,-0.1275,4 mins,14 mins,10 mins
30599078,51.50722,-0.1275,4 mins,14 mins,10 mins
32663280,51.50722,-0.1275,4 mins,14 mins,10 mins
32576098,51.50722,-0.1275,4 mins,14 mins,10 mins
26933018,51.50722,-0.1275,4 mins,14 mins,10 mins
32592428,51.50722,-0.1275,4 mins,14 mins,10 mins
20686882,51.50722,-0.1275,4 mins,14 mins,10 mins
29590802,51.50722,-0.1275,4 mins,14 mins,10 mins
15655852,51.50722,-0.1275,4 mins,14 mins,10 mins
21006860,51.50722,-0.1275,4 mins,14 mins,10 mins
32670536,51.50722,-0.1275,4 mins,14 mins,10 mins
27140538,51.50722,-0.1275,4 mins,14 mins,10 mins
32673150,51.50722,-0.1275,4 mins,14 mins,10 mins
31103802,51.50722,-0.1275,4 mins,14 mins,10 mins
31103446,51.50722,-0.1275,4 mins,14 mins,10 mins
32651244,51.50722,-0.1275,4 mins,14 mins,10 mins
31100066,51.50722,-0.1275,4 mins,14 mins,10 mins
31086364,51.50722,-0.1275,4 mins,14 mins,10 mins
17416550,51.50722,-0.1275,4 mins,14 mins,10 mins
29169396,51.50722,-0.1275,4 mins,14 mins,10 mins
26939760,51.50722,-0.1275,4 mins,14 mins,10 mins
30211714,51.50722,-0.1275,4 mins,14 mins,10 mins
11973680,51.50722,-0.1275,4 mins,14 mins,10 mins
23393190,51.50722,-0.1275,4 mins,14 mins,10 mins
16048222,51.50722,-0.1275,4 mins,14 mins,10 mins
13515014,51.50722,-0.1275,4 mins,14 mins,10 mins
28682474,51.50722,-0.1275,4 mins,14 mins,10 mins
27180200,51.50722,-0.1275,4 mins,14 mins,10 mins
32773164,51.50722,-0.1275,4 mins,14 mins,10 mins
29732728,51.50722,-0.1275,4 mins,14 mins,10 mins
32756958,51.50722,-0.1275,4 mins,14 mins,10 mins
12250504,51.50722,-0.1275,4 mins,14 mins,10 mins
17422656,51.50722,-0.1275,4 mins,14 mins,10 mins
28697776,51.50722,-0.1275,4 mins,14 mins,10 mins
24417228,51.50722,-0.1275,4 mins,14 mins,10 mins
25439354,51.50722,-0.1275,4 mins,14 mins,10 mins
24417136,51.50722,-0.1275,4 mins,14 mins,10 mins
29569702,51.50722,-0.1275,4 mins,14 mins,10 mins
31251578,51.50722,-0.1275,4 mins,14 mins,10 mins
32788914,51.50722,-0.1275,4 mins,14 mins,10 mins
25512776,51.50722,-0.1275,4 mins,14 mins,10 mins
28696464,51.50722,-0.1275,4 mins,14 mins,10 mins
13317572,51.50722,-0.1275,4 mins,14 mins,10 mins
29107752,51.50722,-0.1275,4 mins,14 mins,10 mins
28889170,51.50722,-0.1275,4 mins,14 mins,10 mins
27004048,51.50722,-0.1275,4 mins,14 mins,10 mins
32769128,51.50722,-0.1275,4 mins,14 mins,10 mins
21879300,51.50722,-0.1275,4 mins,14 mins,10 mins
29033564,51.50722,-0.1275,4 mins,14 mins,10 mins
30612524,51.50722,-0.1275,4 mins,14 mins,10 mins
23143714,51.50722,-0.1275,4 mins,14 mins,10 mins
32884770,51.50722,-0.1275,4 mins,14 mins,10 mins
21528100,51.50722,-0.1275,4 mins,14 mins,10 mins
27198574,51.50722,-0.1275,4 mins,14 mins,10 mins
17421514,51.50722,-0.1275,4 mins,14 mins,10 mins
28932688,51.50722,-0.1275,4 mins,14 mins,10 mins
31002058,51.50722,-0.1275,4 mins,14 mins,10 mins
31945978,51.50722,-0.1275,4 mins,14 mins,10 mins
32808774,51.50722,-0.1275,4 mins,14 mins,10 mins
32925826,51.50722,-0.1275,4 mins,14 mins,10 mins
25559424,51.50722,-0.1275,4 mins,14 mins,10 mins
32771704,51.50722,-0.1275,4 mins,14 mins,10 mins
24240232,51.50722,-0.1275,4 mins,14 mins,10 mins
32851348,51.50722,-0.1275,4 mins,14 mins,10 mins
32790456,51.50722,-0.1275,4 mins,14 mins,10 mins
32882970,51.50722,-0.1275,4 mins,14 mins,10 mins
22101936,51.50722,-0.1275,4 mins,14 mins,10 mins
28884926,51.50722,-0.1275,4 mins,14 mins,10 mins
32898948,51.50722,-0.1275,4 mins,14 mins,10 mins
32907768,51.50722,-0.1275,4 mins,14 mins,10 mins
32902618,51.50722,-0.1275,4 mins,14 mins,10 mins
27199620,51.50722,-0.1275,4 mins,14 mins,10 mins
27199454,51.50722,-0.1275,4 mins,14 mins,10 mins
32801860,51.50722,-0.1275,4 mins,14 mins,10 mins
28933246,51.50722,-0.1275,4 mins,14 mins,10 mins
22021088,51.50722,-0.1275,4 mins,14 mins,10 mins
32792650,51.50722,-0.1275,4 mins,14 mins,10 mins
32906412,51.50722,-0.1275,4 mins,14 mins,10 mins
13323824,51.50722,-0.1275,4 mins,14 mins,10 mins
27248226,51.50722,-0.1275,4 mins,14 mins,10 mins
32883284,51.5173,-0.11966,6 mins,13 mins,9 mins
32908748,51.50722,-0.1275,4 mins,14 mins,10 mins
30226106,51.50722,-0.1275,4 mins,14 mins,10 mins
27207862,51.50722,-0.1275,4 mins,14 mins,10 mins
30238474,51.50722,-0.1275,4 mins,14 mins,10 mins
23775842,51.50722,-0.1275,4 mins,14 mins,10 mins
28600620,51.50722,-0.1275,4 mins,14 mins,10 mins
32924948,51.50722,-0.1275,4 mins,14 mins,10 mins
32917680,51.50722,-0.1275,4 mins,14 mins,10 mins
23794544,51.50722,-0.1275,4 mins,14 mins,10 mins
32941330,51.50722,-0.1275,4 mins,14 mins,10 mins
32924054,51.50722,-0.1275,4 mins,14 mins,10 mins
23934894,51.50722,-0.1275,4 mins,14 mins,10 mins
29259538,51.50722,-0.1275,4 mins,14 mins,10 mins
28941978,51.50722,-0.1275,4 mins,14 mins,10 mins
29277912,51.50722,-0.1275,4 mins,14 mins,10 mins
32926102,51.50722,-0.1275,4 mins,14 mins,10 mins
22269332,51.50722,-0.1275,4 mins,14 mins,10 mins
23139746,51.50722,-0.1275,4 mins,14 mins,10 mins
32988466,51.50722,-0.1275,4 mins,14 mins,10 mins
27907544,51.50722,-0.1275,4 mins,14 mins,10 mins
28883000,51.50722,-0.1275,4 mins,14 mins,10 mins
25628854,51.50722,-0.1275,4 mins,14 mins,10 mins
29321674,51.50722,-0.1275,4 mins,14 mins,10 mins
26284706,51.50722,-0.1275,4 mins,14 mins,10 mins
13603722,51.50722,-0.1275,4 mins,14 mins,10 mins
32987188,51.50722,-0.1275,4 mins,14 mins,10 mins
33053614,51.50722,-0.1275,4 mins,14 mins,10 mins
33018912,51.50722,-0.1275,4 mins,14 mins,10 mins
29264388,51.50722,-0.1275,4 mins,14 mins,10 mins
26938388,51.50722,-0.1275,4 mins,14 mins,10 mins
20632686,51.50722,-0.1275,4 mins,14 mins,10 mins
29458006,51.50722,-0.1275,4 mins,14 mins,10 mins
28948138,51.50722,-0.1275,4 mins,14 mins,10 mins
28289120,51.50722,-0.1275,4 mins,14 mins,10 mins
13522694,51.50722,-0.1275,4 mins,14 mins,10 mins
22004866,51.50722,-0.1275,4 mins,14 mins,10 mins
29837550,51.50722,-0.1275,4 mins,14 mins,10 mins
30116708,51.50722,-0.1275,4 mins,14 mins,10 mins
29678650,51.50722,-0.1275,4 mins,14 mins,10 mins
29683736,51.50722,-0.1275,4 mins,14 mins,10 mins
29869230,51.50722,-0.1275,4 mins,14 mins,10 mins
30455566,51.50722,-0.1275,4 mins,14 mins,10 mins
29578800,51.50722,-0.1275,4 mins,14 mins,10 mins
33052114,51.50722,-0.1275,4 mins,14 mins,10 mins
29265186,51.50722,-0.1275,4 mins,14 mins,10 mins
28134786,51.50722,-0.1275,4 mins,14 mins,10 mins
24467018,51.50722,-0.1275,4 mins,14 mins,10 mins
30279610,51.50722,-0.1275,4 mins,14 mins,10 mins
31228290,51.50722,-0.1275,4 mins,14 mins,10 mins
30164964,51.50722,-0.1275,4 mins,14 mins,10 mins
30275988,51.50722,-0.1275,4 mins,14 mins,10 mins
28750044,51.50722,-0.1275,4 mins,14 mins,10 mins
13534528,51.50722,-0.1275,4 mins,14 mins,10 mins
19132518,51.50722,-0.1275,4 mins,14 mins,10 mins
26275378,51.50722,-0.1275,4 mins,14 mins,10 mins
29992128,51.50722,-0.1275,4 mins,14 mins,10 mins
29427152,51.50722,-0.1275,4 mins,14 mins,10 mins
19853584,51.50722,-0.1275,4 mins,14 mins,10 mins
30353906,51.50722,-0.1275,4 mins,14 mins,10 mins
31125596,51.50722,-0.1275,4 mins,14 mins,10 mins
27611186,51.50722,-0.1275,4 mins,14 mins,10 mins
27725892,51.50722,-0.1275,4 mins,14 mins,10 mins
30415052,51.50722,-0.1275,4 mins,14 mins,10 mins
27305136,51.50722,-0.1275,4 mins,14 mins,10 mins
28727822,51.50722,-0.1275,4 mins,14 mins,10 mins
27528936,51.50722,-0.1275,4 mins,14 mins,10 mins
30462434,51.50722,-0.1275,4 mins,14 mins,10 mins
30363288,51.50722,-0.1275,4 mins,14 mins,10 mins
26885056,51.50722,-0.1275,4 mins,14 mins,10 mins
33299546,51.50722,-0.1275,4 mins,14 mins,10 mins
27172178,51.50722,-0.1275,4 mins,14 mins,10 mins
27694072,51.50722,-0.1275,4 mins,14 mins,10 mins
23352966,51.50722,-0.1275,4 mins,14 mins,10 mins
23358138,51.50722,-0.1275,4 mins,14 mins,10 mins
30009340,51.50722,-0.1275,4 mins,14 mins,10 mins
23360530,51.50722,-0.1275,4 mins,14 mins,10 mins
26216328,51.50722,-0.1275,4 mins,14 mins,10 mins
30510308,51.50722,-0.1275,4 mins,14 mins,10 mins
26174712,51.50722,-0.1275,4 mins,14 mins,10 mins
28987944,51.50722,-0.1275,4 mins,14 mins,10 mins
30387572,51.50722,-0.1275,4 mins,14 mins,10 mins
30441192,51.50722,-0.1275,4 mins,14 mins,10 mins
30024174,51.50722,-0.1275,4 mins,14 mins,10 mins
30440716,51.50722,-0.1275,4 mins,14 mins,10 mins
27687798,51.50722,-0.1275,4 mins,14 mins,10 mins
30505580,51.50722,-0.1275,4 mins,14 mins,10 mins
23959044,51.50722,-0.1275,4 mins,14 mins,10 mins
25680324,51.50722,-0.1275,4 mins,14 mins,10 mins
20642626,51.50722,-0.1275,4 mins,14 mins,10 mins
30607992,51.50722,-0.1275,4 mins,14 mins,10 mins
26930162,51.50722,-0.1275,4 mins,14 mins,10 mins
30567760,51.50722,-0.1275,4 mins,14 mins,10 mins
27719340,51.50722,-0.1275,4 mins,14 mins,10 mins
27739218,51.50722,-0.1275,4 mins,14 mins,10 mins
27766052,51.50722,-0.1275,4 mins,14 mins,10 mins
33297328,51.50722,-0.1275,4 mins,14 mins,10 mins
30915850,51.50722,-0.1275,4 mins,14 mins,10 mins
13299556,51.50722,-0.1275,4 mins,14 mins,10 mins
